2012/02/24 14:12:39 - Connecting to AWS region us-west-2.
2012/02/24 14:12:39 - Calculating new unique cluster name for request 155.
2012/02/24 14:12:40 - Creating new cluster name, Thor-3WZ6.
2012/02/24 14:12:40 - Creating Thor-3WZ6 security group.
2012/02/24 14:12:43 - Creating Thor-3WZ6 key pair.
2012/02/24 14:12:44 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/02/24 14:12:45 - Reservation ID r-905419a0 created.
2012/02/24 14:12:45 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:12:53 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:13:01 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:13:09 - Waiting for 10 of 11 nodes to launch.
2012/02/24 14:13:17 - Waiting for 1 of 11 nodes to launch.
2012/02/24 14:13:22 - Pending instances have completed.
2012/02/24 14:13:22 - Checking each node launched properly.
2012/02/24 14:14:22 - 50.112.51.239:   Completed check of node 50.112.51.239.
2012/02/24 14:14:22 - 50.112.29.209:   Remote file contents confirmed.
2012/02/24 14:14:22 - 50.112.46.215:   Copying ~/node_health_script to desitnation.
2012/02/24 14:14:22 - 50.112.49.97:    Remote file contents confirmed.
2012/02/24 14:14:22 - 50.112.46.215:   Checking file contents.
2012/02/24 14:14:23 - 50.112.46.215:   Remote file contents confirmed.
2012/02/24 14:14:23 - 50.112.49.97:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:23 - 50.112.49.97:    Completed check of node 50.112.49.97.
2012/02/24 14:14:24 - 50.112.29.209:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:24 - 50.112.29.209:   Completed check of node 50.112.29.209.
2012/02/24 14:14:24 - 50.112.46.215:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:24 - 50.112.46.215:   Completed check of node 50.112.46.215.
2012/02/24 14:14:24 - Determining availability zone.
2012/02/24 14:14:24 - Gathering public and private ip addresses.
2012/02/24 14:14:24 - Connecting to node 50.112.20.200 for cluster configuration.
2012/02/24 14:14:24 - Connecting via SSH.
2012/02/24 14:14:26 - Checking software installation completed.
2012/02/24 14:14:26 - Software installation finished.
