2013/09/25 17:56:42 - Connecting to AWS region us-west-2.
2013/09/25 17:56:42 - Calculating new unique cluster name for request 705.
2013/09/25 17:56:43 - Creating new cluster name, Hpcc-3YZU.
2013/09/25 17:56:43 - Creating Hpcc-3YZU security group.
2013/09/25 17:56:46 - Creating Hpcc-3YZU key pair.
2013/09/25 17:56:47 - Launching 18 m1.large nodes using ami-221d8012.
2013/09/25 17:56:48 - Reservation ID r-c5b00cf1 created.
2013/09/25 17:56:48 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:56:58 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:07 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:16 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:24 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:34 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:42 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:52 - Waiting for 17 of 18 nodes to launch.
2013/09/25 17:58:01 - Waiting for 16 of 18 nodes to launch.
2013/09/25 17:58:10 - Pending instances have completed.
2013/09/25 17:58:10 - Checking each node launched properly.
2013/09/25 17:58:35 - Remote file contents confirmed.
2013/09/25 17:58:35 - Running envgen
2013/09/25 17:58:36 - Reading the config file.
2013/09/25 17:58:36 - Retrieving IP address of ESP Server.
2013/09/25 17:58:37 - ESP Server private IP address: 10.253.99.253.
2013/09/25 17:58:37 - ESP Server public IP address: 54.245.76.148.
2013/09/25 17:58:37 - 54.212.211.56:   Starting node configuration.
2013/09/25 17:58:37 - 50.112.21.119:   Starting node configuration.
2013/09/25 17:58:37 - 54.212.211.56:   Connecting via SSH.
2013/09/25 17:58:37 - 54.202.21.246:   Starting node configuration.
2013/09/25 17:58:37 - 54.202.21.246:   Connecting via SSH.
2013/09/25 17:58:37 - 50.112.21.119:   Connecting via SSH.
2013/09/25 17:58:37 - 54.214.98.238:   Starting node configuration.
2013/09/25 17:58:37 - 54.245.76.148:   Starting node configuration.
2013/09/25 17:58:37 - 54.214.98.238:   Connecting via SSH.
2013/09/25 17:58:37 - 54.245.76.148:   Connecting via SSH.
2013/09/25 17:58:37 - 54.245.55.3:     Starting node configuration.
2013/09/25 17:58:37 - 54.245.55.3:     Connecting via SSH.
2013/09/25 17:58:37 - 54.202.63.129:   Starting node configuration.
2013/09/25 17:58:37 - 54.214.91.143:   Starting node configuration.
2013/09/25 17:58:37 - 54.202.77.13:    Starting node configuration.
2013/09/25 17:58:37 - 54.202.55.55:    Starting node configuration.
