2012/11/18 23:02:10 - Connecting to AWS region us-west-2.
2012/11/18 23:02:10 - Calculating new unique cluster name for request 403.
2012/11/18 23:02:11 - Creating new cluster name, Hpcc-4RHN.
2012/11/18 23:02:11 - Creating Hpcc-4RHN security group.
2012/11/18 23:02:14 - Creating Hpcc-4RHN key pair.
2012/11/18 23:02:15 - Launching 18 m1.large nodes using ami-e01698d0.
2012/11/18 23:02:15 - Reservation ID r-9d3711ae created.
2012/11/18 23:02:15 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:25 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:34 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:43 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:52 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:03:01 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:03:11 - Waiting for 14 of 18 nodes to launch.
2012/11/18 23:03:20 - Waiting for 10 of 18 nodes to launch.
2012/11/18 23:03:27 - Waiting for 6 of 18 nodes to launch.
2012/11/18 23:03:34 - Waiting for 4 of 18 nodes to launch.
2012/11/18 23:03:40 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:45 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:51 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:56 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:01 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:07 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:12 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:17 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:22 - Pending instances have completed.
2012/11/18 23:04:22 - Checking each node launched properly.
2012/11/18 23:04:32 - 50.112.21.218:   Completed check of node 50.112.21.218.
2012/11/18 23:04:32 - 54.245.128.129:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:32 - 54.245.128.129:  Completed check of node 54.245.128.129.
2012/11/18 23:04:32 - 50.112.80.11:    Remote file contents confirmed.
2012/11/18 23:04:32 - 50.112.67.14:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:32 - 50.112.67.14:    Completed check of node 50.112.67.14.
2012/11/18 23:04:32 - 50.112.80.15:    Remote file contents confirmed.
2012/11/18 23:04:32 - 50.112.32.16:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:32 - 50.112.32.16:    Completed check of node 50.112.32.16.
2012/11/18 23:04:33 - 50.112.80.11:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:33 - 50.112.80.15:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:33 - 50.112.80.15:    Completed check of node 50.112.80.15.
2012/11/18 23:04:33 - 50.112.80.11:    Completed check of node 50.112.80.11.
2012/11/18 23:04:34 - 50.112.80.14:    Checking software installation completed.
2012/11/18 23:04:35 - 50.112.80.14:    Software installation finished.
2012/11/18 23:04:35 - 50.112.80.14:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:35 - 50.112.80.14:    Checking file contents.
2012/11/18 23:04:35 - 50.112.80.14:    Remote file contents confirmed.
2012/11/18 23:04:36 - 50.112.80.14:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:36 - 50.112.80.14:    Completed check of node 50.112.80.14.
2012/11/18 23:04:44 - 54.245.130.252:  Waiting on SSH connection.
2012/11/18 23:05:10 - 54.245.130.252:  Waiting on SSH connection.
2012/11/18 23:05:36 - 54.245.130.252:  Waiting on SSH connection.
2012/11/18 23:06:02 - 54.245.130.252:  Waiting on SSH connection.
2012/11/18 23:06:28 - 54.245.130.252:  Waiting on SSH connection.
2012/11/18 23:06:54 - 54.245.130.252:  54.245.130.252: Timed out trying to ssh to host..
2012/11/18 23:06:54 - 54.245.130.252:  Error - Node 54.245.130.252 failed check.
2012/11/18 23:06:54 - 54.245.130.252:  Completed check of node 54.245.130.252.
2012/11/18 23:06:54 - Terminating 1 bad instances.
2012/11/18 23:06:54 - Terminating instances.
2012/11/18 23:06:55 - Waiting for 1 instances to terminate.
2012/11/18 23:07:00 - Waiting for 1 instances to terminate.
2012/11/18 23:07:05 - Waiting for 1 instances to terminate.
2012/11/18 23:07:11 - Waiting for 1 instances to terminate.
2012/11/18 23:07:16 - Waiting for 1 instances to terminate.
2012/11/18 23:07:21 - Launching 1 new nodes.
