2012/11/19 23:41:28 - Connecting to AWS region us-west-2.
2012/11/19 23:41:28 - Calculating new unique cluster name for request 411.
2012/11/19 23:41:28 - Creating new cluster name, Hpcc-ZWME.
2012/11/19 23:41:28 - Creating Hpcc-ZWME security group.
2012/11/19 23:41:32 - Creating Hpcc-ZWME key pair.
2012/11/19 23:41:33 - Launching 13 m1.large nodes using ami-e01698d0.
2012/11/19 23:41:34 - Reservation ID r-59a8896a created.
2012/11/19 23:41:34 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:41:43 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:41:52 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:00 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:09 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:17 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:26 - Waiting for 9 of 13 nodes to launch.
2012/11/19 23:42:34 - Waiting for 4 of 13 nodes to launch.
2012/11/19 23:42:40 - Waiting for 4 of 13 nodes to launch.
2012/11/19 23:42:48 - Waiting for 2 of 13 nodes to launch.
2012/11/19 23:42:53 - Pending instances have completed.
2012/11/19 23:42:53 - Checking each node launched properly.
2012/11/19 23:43:07 - 54.245.52.218:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:07 - 54.245.52.218:   Completed check of node 54.245.52.218.
2012/11/19 23:43:08 - 50.112.65.145:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:08 - 50.112.65.145:   Completed check of node 50.112.65.145.
2012/11/19 23:43:08 - 50.112.46.71:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:08 - 50.112.46.71:    Completed check of node 50.112.46.71.
2012/11/19 23:43:08 - Determining availability zone.
2012/11/19 23:43:08 - Gathering public and private ip addresses.
2012/11/19 23:43:08 - Connecting to node 50.112.53.249 for cluster configuration.
2012/11/19 23:43:08 - Connecting via SSH.
2012/11/19 23:43:09 - Checking software installation completed.
2012/11/19 23:43:09 - Software installation finished.
2012/11/19 23:43:09 - Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:10 - Checking file contents.
2012/11/19 23:43:10 - Remote file contents confirmed.
2012/11/19 23:43:11 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:11 - Writing cluster private ip addresses to file on instance.
2012/11/19 23:43:11 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2012/11/19 23:43:12 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2012/11/19 23:43:12 - Checking file contents.
2012/11/19 23:43:12 - Remote file contents confirmed.
2012/11/19 23:43:12 - Running envgen
2012/11/19 23:43:13 - Reading the config file.
2012/11/19 23:43:14 - Retrieving IP address of ESP Server.
2012/11/19 23:43:14 - ESP Server private IP address: 10.244.152.10.
2012/11/19 23:43:14 - ESP Server public IP address: 50.112.53.249.
2012/11/19 23:43:15 - 54.245.41.49:    Starting node configuration.
2012/11/19 23:43:15 - 54.245.41.49:    Connecting via SSH.
2012/11/19 23:43:15 - 50.112.46.71:    Starting node configuration.
2012/11/19 23:43:15 - 50.112.83.78:    Starting node configuration.
2012/11/19 23:43:15 - 50.112.83.78:    Connecting via SSH.
2012/11/19 23:43:15 - 50.112.232.185:  Starting node configuration.
2012/11/19 23:43:15 - 50.112.53.249:   Starting node configuration.
2012/11/19 23:43:15 - 50.112.46.71:    Connecting via SSH.
2012/11/19 23:43:15 - 50.112.53.249:   Connecting via SSH.
2012/11/19 23:43:15 - 50.112.232.185:  Connecting via SSH.
2012/11/19 23:43:15 - 50.112.15.60:    Starting node configuration.
2012/11/19 23:43:15 - 50.112.15.60:    Connecting via SSH.
2012/11/19 23:43:15 - 54.245.35.163:   Starting node configuration.
2012/11/19 23:43:15 - 54.245.35.163:   Connecting via SSH.
2012/11/19 23:43:15 - 50.112.70.103:   Starting node configuration.
2012/11/19 23:43:15 - 50.112.70.103:   Connecting via SSH.
2012/11/19 23:43:15 - 50.112.65.145:   Starting node configuration.
2012/11/19 23:43:15 - 50.112.65.145:   Connecting via SSH.
2012/11/19 23:43:15 - 54.245.48.199:   Starting node configuration.
2012/11/19 23:43:15 - 54.245.48.199:   Connecting via SSH.
2012/11/19 23:43:15 - 54.245.53.255:   Starting node configuration.
2012/11/19 23:43:15 - 54.245.53.255:   Connecting via SSH.
2012/11/19 23:43:15 - 54.245.52.218:   Starting node configuration.
2012/11/19 23:43:15 - 54.245.52.218:   Connecting via SSH.
2012/11/19 23:43:15 - 50.112.70.104:   Starting node configuration.
2012/11/19 23:43:15 - 50.112.70.104:   Connecting via SSH.
2012/11/19 23:43:17 - 54.245.41.49:    Checking software installation completed.
2012/11/19 23:43:17 - 54.245.35.163:   Checking software installation completed.
2012/11/19 23:43:17 - 50.112.70.103:   Checking software installation completed.
2012/11/19 23:43:17 - 54.245.53.255:   Checking software installation completed.
2012/11/19 23:43:17 - 50.112.15.60:    Checking software installation completed.
2012/11/19 23:43:17 - 50.112.65.145:   Checking software installation completed.
2012/11/19 23:43:17 - 54.245.48.199:   Checking software installation completed.
2012/11/19 23:43:17 - 54.245.52.218:   Checking software installation completed.
2012/11/19 23:43:17 - 50.112.70.104:   Checking software installation completed.
2012/11/19 23:43:17 - 50.112.232.185:  Checking software installation completed.
2012/11/19 23:43:17 - 54.245.41.49:    Software installation finished.
2012/11/19 23:43:17 - 54.245.41.49:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:17 - 54.245.35.163:   Software installation finished.
2012/11/19 23:43:17 - 54.245.35.163:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:17 - 50.112.46.71:    Checking software installation completed.
2012/11/19 23:43:17 - 50.112.83.78:    Checking software installation completed.
2012/11/19 23:43:17 - 50.112.70.103:   Software installation finished.
2012/11/19 23:43:17 - 50.112.70.103:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:17 - 54.245.53.255:   Software installation finished.
2012/11/19 23:43:17 - 54.245.53.255:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:17 - 50.112.15.60:    Software installation finished.
2012/11/19 23:43:17 - 50.112.15.60:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:17 - 50.112.65.145:   Software installation finished.
2012/11/19 23:43:17 - 50.112.65.145:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:17 - 54.245.48.199:   Software installation finished.
2012/11/19 23:43:17 - 54.245.48.199:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:17 - 50.112.70.104:   Software installation finished.
2012/11/19 23:43:17 - 50.112.70.104:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:17 - 50.112.232.185:  Software installation finished.
2012/11/19 23:43:17 - 50.112.232.185:  Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:17 - 50.112.53.249:   Checking software installation completed.
2012/11/19 23:43:17 - 54.245.52.218:   Software installation finished.
2012/11/19 23:43:17 - 54.245.52.218:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:17 - 50.112.46.71:    Software installation finished.
2012/11/19 23:43:17 - 50.112.46.71:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:17 - 50.112.83.78:    Software installation finished.
2012/11/19 23:43:17 - 50.112.83.78:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:18 - 50.112.53.249:   Software installation finished.
2012/11/19 23:43:18 - 50.112.53.249:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:18 - 54.245.41.49:    Checking file contents.
2012/11/19 23:43:18 - 54.245.35.163:   Checking file contents.
2012/11/19 23:43:18 - 50.112.70.103:   Checking file contents.
2012/11/19 23:43:18 - 54.245.53.255:   Checking file contents.
2012/11/19 23:43:18 - 50.112.15.60:    Checking file contents.
2012/11/19 23:43:18 - 50.112.65.145:   Checking file contents.
2012/11/19 23:43:18 - 50.112.232.185:  Checking file contents.
2012/11/19 23:43:18 - 54.245.52.218:   Checking file contents.
2012/11/19 23:43:18 - 54.245.48.199:   Checking file contents.
2012/11/19 23:43:18 - 50.112.70.104:   Checking file contents.
2012/11/19 23:43:18 - 50.112.46.71:    Checking file contents.
2012/11/19 23:43:18 - 50.112.83.78:    Checking file contents.
2012/11/19 23:43:18 - 54.245.41.49:    Remote file contents confirmed.
2012/11/19 23:43:18 - 54.245.35.163:   Remote file contents confirmed.
