2015/11/09 11:48:23 - Connecting to AWS region us-west-2.
2015/11/09 11:48:23 - Calculating new unique cluster name for request 1170.
2015/11/09 11:48:23 - Creating new cluster name, Hpcc-VUHX.
2015/11/09 11:48:23 - Creating Hpcc-VUHX security group.
2015/11/09 11:48:26 - Creating Hpcc-VUHX key pair.
2015/11/09 11:48:26 - Launching 14 m1.large nodes using ami-de1700bf.
2015/11/09 11:48:27 - Reservation ID r-380701cf created.
2015/11/09 11:48:27 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:35 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:43 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:51 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:58 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:49:05 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:49:12 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:49:19 - Waiting for 13 of 14 nodes to launch.
2015/11/09 11:49:26 - Waiting for 13 of 14 nodes to launch.
2015/11/09 11:49:33 - Waiting for 12 of 14 nodes to launch.
2015/11/09 11:49:41 - Waiting for 4 of 14 nodes to launch.
2015/11/09 11:49:47 - Waiting for 1 of 14 nodes to launch.
2015/11/09 11:49:52 - Pending instances have completed.
2015/11/09 11:49:52 - Checking each node launched properly.
2015/11/09 11:50:03 - 52.33.167.87:    Completed check of node 52.33.167.87.
2015/11/09 11:50:05 - 52.33.187.122:   Software installation finished.
2015/11/09 11:50:05 - 52.33.187.122:   Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:06 - 52.33.187.122:   Checking file contents.
2015/11/09 11:50:06 - 52.33.152.89:    Software installation finished.
2015/11/09 11:50:06 - 52.33.152.89:    Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:06 - 52.33.187.122:   Remote file contents confirmed.
2015/11/09 11:50:07 - 52.33.152.89:    Checking file contents.
2015/11/09 11:50:07 - 52.33.152.89:    Remote file contents confirmed.
2015/11/09 11:50:07 - 52.33.187.122:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/11/09 11:50:07 - 52.33.187.122:   Completed check of node 52.33.187.122.
2015/11/09 11:50:07 - 52.33.152.89:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/11/09 11:50:07 - 52.33.152.89:    Completed check of node 52.33.152.89.
2015/11/09 11:50:14 - 52.33.157.172:   Checking software installation completed.
2015/11/09 11:50:14 - 52.33.157.172:   Software installation finished.
2015/11/09 11:50:14 - 52.33.157.172:   Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:15 - 52.33.157.172:   Checking file contents.
2015/11/09 11:50:15 - 52.33.157.172:   Remote file contents confirmed.
2015/11/09 11:50:16 - 52.33.157.172:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/11/09 11:50:16 - 52.33.157.172:   Completed check of node 52.33.157.172.
2015/11/09 11:50:16 - Determining availability zone.
2015/11/09 11:50:16 - Gathering public and private ip addresses.
2015/11/09 11:50:16 - Connecting to node 52.33.127.177 for cluster configuration.
2015/11/09 11:50:16 - Connecting via SSH.
2015/11/09 11:50:17 - Checking software installation completed.
2015/11/09 11:50:17 - Software installation finished.
2015/11/09 11:50:17 - Sending /home/ubuntu/node_health_script via SFTP.
