2012/01/31 18:02:03 - Connecting to AWS region us-east-1.
2012/01/31 18:02:03 - Calculating new unique cluster name for request 62.
2012/01/31 18:02:03 - Creating new cluster name, Thor-8CKU.
2012/01/31 18:02:03 - Creating Thor-8CKU security group.
2012/01/31 18:02:05 - Creating Thor-8CKU key pair.
2012/01/31 18:02:06 - Launching 255 m1.large nodes using ami-fbbf7892.
2012/01/31 18:02:13 - Reservation ID r-eece358e created
2012/01/31 18:02:13 - Waiting for 255 of 255 nodes to launch.
2012/01/31 18:02:41 - Waiting for 255 of 255 nodes to launch.
2012/01/31 18:02:59 - Waiting for 255 of 255 nodes to launch.
2012/01/31 18:03:26 - Waiting for 203 of 255 nodes to launch.
2012/01/31 18:03:50 - Waiting for 33 of 255 nodes to launch.
2012/01/31 18:03:57 - Waiting for 9 of 255 nodes to launch.
2012/01/31 18:04:03 - Waiting for 5 of 255 nodes to launch.
2012/01/31 18:04:08 - Waiting for 5 of 255 nodes to launch.
2012/01/31 18:04:14 - Waiting for 5 of 255 nodes to launch.
2012/01/31 18:04:19 - Waiting for 4 of 255 nodes to launch.
2012/01/31 18:04:24 - Waiting for 3 of 255 nodes to launch.
2012/01/31 18:04:30 - Waiting for 2 of 255 nodes to launch.
2012/01/31 18:04:35 - Waiting for 2 of 255 nodes to launch.
2012/01/31 18:04:40 - Waiting for 2 of 255 nodes to launch.
2012/01/31 18:04:45 - Pending instances have completed.
2012/01/31 18:04:45 - Checking each node launched properly.
2012/01/31 18:04:53 - 174.129.95.77:   Waiting for software to install.
2012/01/31 18:04:53 - 184.73.137.98:   Waiting for software to install.
2012/01/31 18:04:53 - 107.22.143.72:   Checking network mask is compatible.
2012/01/31 18:04:53 - 107.22.143.72:   Checking disk I/O
2012/01/31 18:04:53 - 107.21.67.205:   Checking network mask is compatible.
2012/01/31 18:04:53 - 107.21.67.205:   Checking disk I/O
2012/01/31 18:04:53 - 107.21.67.205:   Checking software installation completed.
2012/01/31 18:04:53 - 107.22.143.72:   Checking software installation completed.
2012/01/31 18:04:53 - 107.21.67.205:   Waiting for software to install.
2012/01/31 18:04:53 - 107.22.143.72:   Software installation finished.
2012/01/31 18:04:53 - 107.22.143.72:   Completed check of node 107.22.143.72.
2012/01/31 18:04:53 - 50.17.100.131:   Checking EC2 instance i-79b5121c.
2012/01/31 18:04:53 - 184.72.77.79:    Checking network mask is compatible.
2012/01/31 18:04:53 - 184.72.77.79:    Checking disk I/O
2012/01/31 18:04:53 - 50.17.100.131:   Checking EC2 instance is running.
2012/01/31 18:04:53 - 50.17.100.131:   Connecting via SSH.
2012/01/31 18:04:53 - 184.72.77.79:    Checking software installation completed.
2012/01/31 18:04:54 - 184.72.77.79:    Software installation finished.
2012/01/31 18:04:54 - 184.72.77.79:    Completed check of node 184.72.77.79.
2012/01/31 18:04:54 - 107.22.155.136:  Checking EC2 instance i-45b51220.
2012/01/31 18:04:54 - 23.20.36.87:     Checking network mask is compatible.
2012/01/31 18:04:54 - 23.20.36.87:     Checking disk I/O
2012/01/31 18:04:54 - 107.22.155.136:  Checking EC2 instance is running.
2012/01/31 18:04:54 - 107.22.155.136:  Connecting via SSH.
2012/01/31 18:04:54 - 23.20.36.87:     Checking software installation completed.
2012/01/31 18:04:54 - 23.20.36.87:     Software installation finished.
2012/01/31 18:04:54 - 23.20.36.87:     Completed check of node 23.20.36.87.
2012/01/31 18:04:54 - 107.21.167.207:  Checking EC2 instance i-47b51222.
2012/01/31 18:04:54 - 107.21.167.207:  Checking EC2 instance is running.
2012/01/31 18:04:54 - 107.21.167.207:  Connecting via SSH.
2012/01/31 18:04:56 - 50.17.100.131:   Checking network mask is compatible.
2012/01/31 18:04:56 - 50.17.100.131:   Checking disk I/O
2012/01/31 18:04:56 - 50.17.100.131:   Checking software installation completed.
2012/01/31 18:04:56 - 107.22.155.136:  Checking network mask is compatible.
2012/01/31 18:04:56 - 107.22.155.136:  Checking disk I/O
2012/01/31 18:04:56 - 107.22.155.136:  Checking software installation completed.
2012/01/31 18:04:56 - 107.22.155.136:  Waiting for software to install.
2012/01/31 18:04:56 - 107.21.167.207:  Checking network mask is compatible.
2012/01/31 18:04:56 - 107.21.167.207:  Checking disk I/O
2012/01/31 18:04:56 - 107.21.167.207:  Checking software installation completed.
2012/01/31 18:04:56 - 107.21.167.207:  Software installation finished.
2012/01/31 18:04:56 - 107.21.167.207:  Completed check of node 107.21.167.207.
2012/01/31 18:04:56 - 107.20.69.221:   Checking EC2 instance i-41b51224.
2012/01/31 18:04:56 - 107.20.69.221:   Checking EC2 instance is running.
2012/01/31 18:04:56 - 107.20.69.221:   Connecting via SSH.
2012/01/31 18:04:58 - 50.17.100.131:   Software installation finished.
2012/01/31 18:04:58 - 50.17.100.131:   Completed check of node 50.17.100.131.
2012/01/31 18:04:58 - 50.16.91.149:    Checking EC2 instance i-43b51226.
2012/01/31 18:04:58 - 50.16.91.149:    Checking EC2 instance is running.
2012/01/31 18:04:58 - 50.16.91.149:    Connecting via SSH.
2012/01/31 18:04:58 - 107.22.133.211:  Checking network mask is compatible.
2012/01/31 18:04:58 - 107.22.133.211:  Checking disk I/O
2012/01/31 18:04:58 - 107.22.133.211:  Checking software installation completed.
2012/01/31 18:04:58 - 107.22.133.211:  Waiting for software to install.
2012/01/31 18:04:59 - 107.20.69.221:   Checking network mask is compatible.
2012/01/31 18:04:59 - 107.20.69.221:   Checking disk I/O
2012/01/31 18:04:59 - 107.20.69.221:   Checking software installation completed.
2012/01/31 18:04:59 - 107.20.69.221:   Waiting for software to install.
2012/01/31 18:04:59 - 23.20.39.61:     Waiting for software to install.
2012/01/31 18:04:59 - 50.17.53.240:    Waiting for software to install.
2012/01/31 18:04:59 - 107.20.119.151:  Waiting for software to install.
2012/01/31 18:04:59 - 184.73.4.9:      Waiting for software to install.
2012/01/31 18:04:59 - 50.17.3.55:      Waiting for software to install.
2012/01/31 18:04:59 - 107.21.179.226:  Waiting for software to install.
2012/01/31 18:05:00 - 50.16.179.129:   Waiting for software to install.
2012/01/31 18:05:00 - 50.16.91.149:    Checking network mask is compatible.
2012/01/31 18:05:00 - 50.16.91.149:    Checking disk I/O
2012/01/31 18:05:00 - 50.17.55.6:      Waiting for software to install.
2012/01/31 18:05:00 - 50.16.91.149:    Checking software installation completed.
2012/01/31 18:05:00 - 50.16.98.109:    Waiting for software to install.
2012/01/31 18:05:00 - 107.22.58.66:    Waiting for software to install.
