2015/05/01 15:39:40 - Connecting to AWS region us-east-1.
2015/05/01 15:39:40 - Calculating new unique cluster name for request 1085.
2015/05/01 15:39:40 - Creating new cluster name, Hpcc-ZBH7.
2015/05/01 15:39:40 - Creating Hpcc-ZBH7 security group.
2015/05/01 15:39:42 - Creating Hpcc-ZBH7 key pair.
2015/05/01 15:39:42 - Launching 20 m1.large nodes using ami-72ac861a.
2015/05/01 15:39:43 - Reservation ID r-27e505d6 created.
2015/05/01 15:39:43 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:39:50 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:39:57 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:04 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:10 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:17 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:23 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:30 - Waiting for 16 of 20 nodes to launch.
2015/05/01 15:40:37 - Waiting for 12 of 20 nodes to launch.
2015/05/01 15:40:43 - Waiting for 5 of 20 nodes to launch.
2015/05/01 15:40:48 - Waiting for 5 of 20 nodes to launch.
2015/05/01 15:40:54 - Waiting for 2 of 20 nodes to launch.
2015/05/01 15:40:59 - Pending instances have completed.
2015/05/01 15:40:59 - Checking each node launched properly.
2015/05/01 15:41:11 - 52.6.19.189:     Remote file contents confirmed.
2015/05/01 15:41:11 - 52.6.19.189:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/05/01 15:41:12 - 52.6.19.189:     Completed check of node 52.6.19.189.
2015/05/01 15:41:12 - 52.7.34.175:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/05/01 15:41:12 - 52.7.34.175:     Completed check of node 52.7.34.175.
2015/05/01 15:41:16 - 52.4.208.17:     Software installation finished.
2015/05/01 15:41:16 - 52.4.208.17:     Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:16 - 52.4.208.17:     Checking file contents.
2015/05/01 15:41:16 - 52.4.208.17:     Remote file contents confirmed.
2015/05/01 15:41:16 - 52.7.14.178:     Software installation finished.
2015/05/01 15:41:16 - 52.7.14.178:     Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:16 - 52.4.208.17:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/05/01 15:41:16 - 52.4.208.17:     Completed check of node 52.4.208.17.
2015/05/01 15:41:16 - 52.7.14.178:     Checking file contents.
2015/05/01 15:41:16 - 52.7.14.178:     Remote file contents confirmed.
2015/05/01 15:41:16 - 52.7.14.178:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/05/01 15:41:16 - 52.7.14.178:     Completed check of node 52.7.14.178.
2015/05/01 15:41:18 - 52.7.35.11:      Checking software installation completed.
2015/05/01 15:41:18 - 52.7.35.11:      Software installation finished.
2015/05/01 15:41:18 - 52.7.35.11:      Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:18 - 52.7.35.11:      Checking file contents.
2015/05/01 15:41:18 - 52.7.35.11:      Remote file contents confirmed.
2015/05/01 15:41:19 - 52.7.35.11:      No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/05/01 15:41:19 - 52.7.35.11:      Completed check of node 52.7.35.11.
2015/05/01 15:41:19 - Determining availability zone.
2015/05/01 15:41:19 - Gathering public and private ip addresses.
2015/05/01 15:41:19 - Connecting to node 52.4.208.17 for cluster configuration.
2015/05/01 15:41:19 - Connecting via SSH.
2015/05/01 15:41:25 - Checking software installation completed.
2015/05/01 15:41:25 - Software installation finished.
2015/05/01 15:41:25 - Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:25 - Checking file contents.
2015/05/01 15:41:25 - Remote file contents confirmed.
2015/05/01 15:41:26 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/05/01 15:41:26 - Writing cluster private ip addresses to file on instance.
2015/05/01 15:41:26 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2015/05/01 15:41:26 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2015/05/01 15:41:26 - Checking file contents.
2015/05/01 15:41:26 - Remote file contents confirmed.
2015/05/01 15:41:26 - Running envgen
2015/05/01 15:41:26 - Reading the config file.
