2014/07/13 15:13:43 - Connecting to AWS region us-east-1.
2014/07/13 15:13:43 - Calculating new unique cluster name for request 852.
2014/07/13 15:13:43 - Creating new cluster name, Hpcc-96MS.
2014/07/13 15:13:43 - Creating Hpcc-96MS security group.
2014/07/13 15:18:06 - 23.20.123.174:   Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:18:06 - 54.91.234.238:   Checking file contents.
2014/07/13 15:18:06 - 54.91.234.238:   Remote file contents confirmed.
2014/07/13 15:18:06 - 23.20.123.174:   Checking file contents.
2014/07/13 15:18:06 - 54.87.170.247:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:18:06 - 54.87.170.247:   Completed check of node 54.87.170.247.
2014/07/13 15:18:06 - 54.83.134.225:   Checking file contents.
2014/07/13 15:18:06 - 23.20.123.174:   Remote file contents confirmed.
2014/07/13 15:18:06 - 54.83.134.225:   Remote file contents confirmed.
2014/07/13 15:18:06 - 54.91.234.238:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:18:06 - 54.91.234.238:   Completed check of node 54.91.234.238.
2014/07/13 15:18:06 - 54.83.134.225:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:18:06 - 23.20.123.174:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:18:06 - 54.83.134.225:   Completed check of node 54.83.134.225.
2014/07/13 15:18:06 - 23.20.123.174:   Completed check of node 23.20.123.174.
2014/07/13 15:18:06 - 54.197.134.126:  Checking software installation completed.
2014/07/13 15:18:07 - 54.197.134.126:  Software installation finished.
2014/07/13 15:18:07 - 54.197.134.126:  Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:18:07 - 54.197.134.126:  Checking file contents.
2014/07/13 15:18:07 - 54.197.134.126:  Remote file contents confirmed.
2014/07/13 15:18:07 - 54.197.134.126:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:18:07 - 54.197.134.126:  Completed check of node 54.197.134.126.
2014/07/13 15:18:12 - 54.91.62.125:    Checking software installation completed.
2014/07/13 15:18:12 - 54.91.62.125:    Waiting for software to install.
2014/07/13 15:18:22 - 54.91.62.125:    Software installation finished.
2014/07/13 15:18:22 - 54.91.62.125:    Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:18:22 - 54.91.62.125:    Checking file contents.
2014/07/13 15:18:22 - 54.91.62.125:    Remote file contents confirmed.
2014/07/13 15:18:22 - Unhandled error occured when checking for bad instances
2014/07/13 15:18:22 - An exception occured.
                      ClusterError: Core count 0 Less than minimum 2
Total of 1 anomalies detected.
2014/07/13 15:18:22 - 54.91.62.125:    Completed check of node 54.91.62.125.
2014/07/13 15:18:22 - Core count 0 Less than minimum 2
Total of 1 anomalies detected.

2014/07/13 15:18:22 - Terminating 2 bad instances.
2014/07/13 15:18:22 - Terminating instances.
2014/07/13 15:18:23 - Waiting for 1 instances to terminate.
2014/07/13 15:18:28 - Waiting for 1 instances to terminate.
2014/07/13 15:18:33 - Waiting for 1 instances to terminate.
2014/07/13 15:18:38 - Waiting for 1 instances to terminate.
2014/07/13 15:18:43 - Waiting for 1 instances to terminate.
2014/07/13 15:18:49 - Waiting for 1 instances to terminate.
2014/07/13 15:18:54 - Launching 2 new nodes.
2014/07/13 15:18:54 - Reservation ID r-494f6c36 created.
2014/07/13 15:18:54 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:19:00 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:19:05 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:19:10 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:19:15 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:19:20 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:19:25 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:19:31 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:19:36 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:19:41 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:19:46 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:19:51 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:19:57 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:20:02 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:20:07 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:20:12 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:20:17 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:20:22 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:20:28 - Waiting for 2 of 2 nodes to launch.
2014/07/13 15:20:33 - Waiting for 1 of 2 nodes to launch.
2014/07/13 15:20:38 - Waiting for 1 of 2 nodes to launch.
2014/07/13 15:20:43 - Waiting for 1 of 2 nodes to launch.
2014/07/13 15:20:48 - Pending instances have completed.
2014/07/13 15:20:48 - Checking each node launched properly.
2014/07/13 15:20:48 - 54.205.40.54:    Checking EC2 instance i-c181a4ea.
2014/07/13 15:20:48 - 50.17.18.69:     Checking EC2 instance i-c081a4eb.
2014/07/13 15:20:48 - 50.17.18.69:     Checking EC2 instance is running.
2014/07/13 15:20:48 - 50.17.18.69:     Connecting via SSH.
2014/07/13 15:20:48 - 54.205.40.54:    Checking EC2 instance is running.
2014/07/13 15:20:48 - 54.205.40.54:    Connecting via SSH.
2014/07/13 15:20:51 - 50.17.18.69:     Waiting on SSH connection.
2014/07/13 15:20:54 - 54.205.40.54:    Checking software installation completed.
2014/07/13 15:20:54 - 54.205.40.54:    Software installation finished.
2014/07/13 15:20:54 - 54.205.40.54:    Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:20:54 - 54.205.40.54:    Checking file contents.
2014/07/13 15:20:54 - 54.205.40.54:    Remote file contents confirmed.
2014/07/13 15:20:55 - Unhandled error occured when checking for bad instances
2014/07/13 15:20:55 - An exception occured.
                      ClusterError: Core count 0 Less than minimum 2
Total of 1 anomalies detected.
2014/07/13 15:20:55 - 54.205.40.54:    Completed check of node 54.205.40.54.
2014/07/13 15:20:55 - Core count 0 Less than minimum 2
Total of 1 anomalies detected.

2014/07/13 15:20:56 - 50.17.18.69:     Waiting on SSH connection.
2014/07/13 15:21:10 - 50.17.18.69:     Checking software installation completed.
2014/07/13 15:21:10 - 50.17.18.69:     Software installation finished.
2014/07/13 15:21:10 - 50.17.18.69:     Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:21:10 - 50.17.18.69:     Checking file contents.
2014/07/13 15:21:10 - 50.17.18.69:     Remote file contents confirmed.
2014/07/13 15:21:11 - 50.17.18.69:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:21:11 - 50.17.18.69:     Completed check of node 50.17.18.69.
