2013/09/19 16:44:10 - Connecting to AWS region us-west-2.
2013/09/19 16:44:10 - Calculating new unique cluster name for request 693.
2013/09/19 16:44:11 - Creating new cluster name, Hpcc-3CSR.
2013/09/19 16:44:11 - Creating Hpcc-3CSR security group.
2013/09/19 16:44:14 - Creating Hpcc-3CSR key pair.
2013/09/19 16:44:15 - Launching 18 m1.large nodes using ami-221d8012.
2013/09/19 16:44:16 - Reservation ID r-d9d792ed created.
2013/09/19 16:44:16 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:26 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:35 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:44 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:53 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:01 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:10 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:19 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:28 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:37 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:46 - Waiting for 3 of 18 nodes to launch.
2013/09/19 16:45:52 - Pending instances have completed.
2013/09/19 16:45:52 - Checking each node launched properly.
2013/09/19 16:46:03 - 50.112.3.239:    Completed check of node 50.112.3.239.
2013/09/19 16:46:03 - 54.245.195.181:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:03 - 54.218.167.120:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:03 - 54.218.167.120:  Completed check of node 54.218.167.120.
2013/09/19 16:46:03 - 54.245.162.196:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:03 - 54.245.162.196:  Completed check of node 54.245.162.196.
2013/09/19 16:46:03 - 54.245.195.181:  Completed check of node 54.245.195.181.
2013/09/19 16:46:03 - 54.212.207.13:   Remote file contents confirmed.
2013/09/19 16:46:03 - 54.218.155.98:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:03 - 54.218.155.98:   Completed check of node 54.218.155.98.
2013/09/19 16:46:03 - 50.112.204.51:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:03 - 50.112.204.51:   Completed check of node 50.112.204.51.
2013/09/19 16:46:03 - 54.214.100.206:  Checking file contents.
2013/09/19 16:46:03 - 50.112.13.105:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
