2013/05/14 16:47:30 - 54.245.20.137:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 54.244.74.247:   Checking software installation completed.
2013/05/14 16:47:30 - 54.244.196.171:  Checking software installation completed.
2013/05/14 16:47:30 - 54.214.73.177:   Checking software installation completed.
2013/05/14 16:47:30 - 54.214.58.86:    Checking software installation completed.
2013/05/14 16:47:30 - 50.112.83.31:    Checking software installation completed.
2013/05/14 16:47:30 - 54.244.147.234:  Checking software installation completed.
2013/05/14 16:47:30 - 54.214.60.251:   Checking software installation completed.
2013/05/14 16:47:30 - 54.244.68.2:     Checking software installation completed.
2013/05/14 16:47:30 - 54.245.138.7:    Software installation finished.
2013/05/14 16:47:30 - 54.245.138.7:    Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 54.245.185.167:  Checking software installation completed.
2013/05/14 16:47:30 - 54.245.17.37:    Checking software installation completed.
2013/05/14 16:47:30 - 54.244.180.126:  Checking software installation completed.
2013/05/14 16:47:30 - 54.245.194.113:  Software installation finished.
2013/05/14 16:47:30 - 54.245.194.113:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 54.244.142.177:  Checking software installation completed.
2013/05/14 16:47:30 - 54.245.200.152:  Software installation finished.
2013/05/14 16:47:30 - 54.245.200.152:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 54.244.74.247:   Software installation finished.
2013/05/14 16:47:30 - 54.244.74.247:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 54.214.73.177:   Software installation finished.
2013/05/14 16:47:30 - 54.214.73.177:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 54.214.58.86:    Software installation finished.
2013/05/14 16:47:30 - 54.214.58.86:    Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 54.244.196.171:  Software installation finished.
2013/05/14 16:47:30 - 54.244.196.171:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 54.214.60.251:   Software installation finished.
2013/05/14 16:47:30 - 54.214.60.251:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 54.244.147.234:  Software installation finished.
2013/05/14 16:47:30 - 54.244.147.234:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 54.244.68.2:     Software installation finished.
2013/05/14 16:47:30 - 54.244.68.2:     Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 54.244.203.137:  Checking software installation completed.
2013/05/14 16:47:30 - 54.244.216.77:   Checking software installation completed.
2013/05/14 16:47:30 - 54.245.185.167:  Software installation finished.
2013/05/14 16:47:30 - 54.245.185.167:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 50.112.83.31:    Software installation finished.
2013/05/14 16:47:30 - 50.112.83.31:    Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 54.244.147.82:   Checking software installation completed.
2013/05/14 16:47:30 - 54.245.17.37:    Software installation finished.
2013/05/14 16:47:30 - 54.245.17.37:    Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:31 - 54.244.180.126:  Software installation finished.
2013/05/14 16:47:31 - 54.244.180.126:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:31 - 54.245.3.86:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:31 - 54.245.3.86:     Completed check of node 54.245.3.86.
2013/05/14 16:47:31 - 54.244.180.221:  Checking EC2 instance i-58348b6d.
2013/05/14 16:47:31 - 54.244.142.177:  Software installation finished.
2013/05/14 16:47:31 - 54.244.142.177:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:31 - 54.245.20.137:   Checking file contents.
2013/05/14 16:47:31 - 54.245.138.7:    Checking file contents.
2013/05/14 16:47:31 - 54.244.216.77:   Software installation finished.
2013/05/14 16:47:31 - 54.244.216.77:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:31 - 54.244.147.82:   Software installation finished.
2013/05/14 16:47:31 - 54.244.147.82:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:31 - 54.244.74.247:   Checking file contents.
2013/05/14 16:47:31 - 54.244.203.137:  Software installation finished.
2013/05/14 16:47:31 - 54.244.203.137:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:31 - 50.112.24.14:    Checking software installation completed.
2013/05/14 16:47:31 - 54.244.180.221:  Checking EC2 instance is running.
2013/05/14 16:47:31 - 54.244.180.221:  Connecting via SSH.
2013/05/14 16:47:31 - 54.245.194.113:  Checking file contents.
2013/05/14 16:47:31 - 54.214.58.86:    Checking file contents.
2013/05/14 16:47:31 - 54.214.73.177:   Checking file contents.
2013/05/14 16:47:31 - 54.245.200.152:  Checking file contents.
2013/05/14 16:47:31 - 54.214.60.251:   Checking file contents.
2013/05/14 16:47:31 - 54.245.20.137:   Remote file contents confirmed.
2013/05/14 16:47:31 - 54.244.68.2:     Checking file contents.
2013/05/14 16:47:31 - 54.244.196.171:  Checking file contents.
2013/05/14 16:47:31 - 54.245.138.7:    Remote file contents confirmed.
2013/05/14 16:47:31 - 54.244.147.234:  Checking file contents.
2013/05/14 16:47:31 - 54.245.185.167:  Checking file contents.
2013/05/14 16:47:31 - 50.112.83.31:    Checking file contents.
2013/05/14 16:47:31 - 54.244.74.247:   Remote file contents confirmed.
