2013/05/24 17:30:40 - Connecting to AWS region us-west-2.
2013/05/24 17:30:40 - Calculating new unique cluster name for request 611.
2013/05/24 17:30:41 - Creating new cluster name, Hpcc-2YEC.
2013/05/24 17:30:41 - Creating Hpcc-2YEC security group.
2013/05/24 17:30:45 - Creating Hpcc-2YEC key pair.
2013/05/24 17:30:46 - Launching 205 m1.large nodes using ami-c1ca5cf1.
2013/05/24 17:31:15 - Reservation ID r-0d29373f created.
2013/05/24 17:31:15 - Waiting for 205 of 205 nodes to launch.
2013/05/24 17:32:13 - Waiting for 205 of 205 nodes to launch.
2013/05/24 17:33:12 - Waiting for 142 of 205 nodes to launch.
2013/05/24 17:33:54 - Waiting for 12 of 205 nodes to launch.
2013/05/24 17:34:03 - Waiting for 3 of 205 nodes to launch.
2013/05/24 17:34:09 - Waiting for 3 of 205 nodes to launch.
2013/05/24 17:34:14 - Waiting for 3 of 205 nodes to launch.
2013/05/24 17:34:20 - Waiting for 1 of 205 nodes to launch.
2013/05/24 17:34:25 - Pending instances have completed.
2013/05/24 17:34:25 - Checking each node launched properly.
2013/05/24 17:34:34 - 54.214.177.148:  Checking software installation completed.
2013/05/24 17:34:34 - 54.244.158.152:  Checking software installation completed.
2013/05/24 17:34:34 - 54.214.193.164:  Checking software installation completed.
2013/05/24 17:34:34 - 54.244.130.95:   Checking software installation completed.
2013/05/24 17:34:34 - 54.214.149.193:  Checking software installation completed.
2013/05/24 17:34:34 - 54.214.105.192:  Checking software installation completed.
2013/05/24 17:34:34 - 54.214.168.217:  Remote file contents confirmed.
2013/05/24 17:34:34 - 54.245.41.132:   Checking software installation completed.
2013/05/24 17:34:34 - 54.244.186.40:   Checking software installation completed.
2013/05/24 17:34:34 - 54.214.143.26:   Checking software installation completed.
2013/05/24 17:34:34 - 54.214.64.205:   Software installation finished.
2013/05/24 17:34:34 - 54.214.64.205:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:34 - 54.214.77.164:   Software installation finished.
2013/05/24 17:34:34 - 54.214.77.164:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:34 - 50.112.208.146:  Software installation finished.
2013/05/24 17:34:34 - 50.112.208.146:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:34 - 54.214.193.211:  Software installation finished.
2013/05/24 17:34:34 - 54.214.193.211:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:34 - 54.214.180.205:  Checking software installation completed.
2013/05/24 17:34:34 - 54.214.177.148:  Software installation finished.
2013/05/24 17:34:34 - 54.214.177.148:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:34 - 54.214.74.196:   Checking software installation completed.
2013/05/24 17:34:34 - 54.214.189.128:  Checking software installation completed.
2013/05/24 17:34:34 - 54.244.158.152:  Software installation finished.
2013/05/24 17:34:34 - 54.244.158.152:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:34 - 54.214.193.164:  Software installation finished.
2013/05/24 17:34:34 - 54.214.193.164:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:34 - 54.244.131.31:   Checking software installation completed.
2013/05/24 17:34:34 - 54.244.215.53:   Software installation finished.
2013/05/24 17:34:34 - 54.244.215.53:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.214.171.74:   Checking software installation completed.
2013/05/24 17:34:35 - 54.214.149.193:  Software installation finished.
2013/05/24 17:34:35 - 54.214.149.193:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.245.133.6:    Checking software installation completed.
2013/05/24 17:34:35 - 54.214.105.192:  Software installation finished.
2013/05/24 17:34:35 - 54.214.105.192:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.245.41.132:   Software installation finished.
2013/05/24 17:34:35 - 54.245.41.132:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.214.143.26:   Software installation finished.
2013/05/24 17:34:35 - 54.214.143.26:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 50.112.16.167:   Checking software installation completed.
2013/05/24 17:34:35 - 54.214.180.205:  Software installation finished.
2013/05/24 17:34:35 - 54.214.180.205:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.214.74.196:   Software installation finished.
2013/05/24 17:34:35 - 54.214.74.196:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.244.131.31:   Software installation finished.
2013/05/24 17:34:35 - 54.244.131.31:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.214.189.128:  Software installation finished.
2013/05/24 17:34:35 - 54.214.189.128:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.214.183.8:    Software installation finished.
2013/05/24 17:34:35 - 54.214.183.8:    Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.214.171.74:   Software installation finished.
2013/05/24 17:34:35 - 54.214.171.74:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.245.153.228:  Software installation finished.
2013/05/24 17:34:35 - 54.245.153.228:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.244.186.40:   Software installation finished.
2013/05/24 17:34:35 - 54.244.186.40:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.244.130.95:   Software installation finished.
2013/05/24 17:34:35 - 54.244.130.95:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.214.144.192:  Checking software installation completed.
2013/05/24 17:34:35 - 54.245.133.6:    Software installation finished.
2013/05/24 17:34:35 - 54.245.133.6:    Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.214.64.205:   Checking file contents.
2013/05/24 17:34:35 - 54.214.193.164:  Checking file contents.
2013/05/24 17:34:35 - 50.112.208.146:  Checking file contents.
2013/05/24 17:34:35 - 54.214.177.148:  Checking file contents.
2013/05/24 17:34:35 - 54.244.158.152:  Checking file contents.
2013/05/24 17:34:35 - 54.244.215.53:   Checking file contents.
2013/05/24 17:34:35 - 54.214.168.217:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:35 - 54.214.168.217:  Completed check of node 54.214.168.217.
2013/05/24 17:34:35 - 54.214.150.134:  Checking EC2 instance i-68a6345d.
2013/05/24 17:34:35 - 54.214.193.211:  Checking file contents.
2013/05/24 17:34:35 - 50.112.16.167:   Software installation finished.
2013/05/24 17:34:35 - 50.112.16.167:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.214.149.193:  Checking file contents.
2013/05/24 17:34:35 - 54.214.77.164:   Checking file contents.
2013/05/24 17:34:35 - 54.214.105.192:  Checking file contents.
2013/05/24 17:34:35 - 54.245.41.132:   Checking file contents.
2013/05/24 17:34:35 - 54.214.144.192:  Software installation finished.
2013/05/24 17:34:35 - 54.214.144.192:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:35 - 54.214.143.26:   Checking file contents.
2013/05/24 17:34:35 - 54.214.193.164:  Remote file contents confirmed.
2013/05/24 17:34:35 - 54.244.158.152:  Remote file contents confirmed.
2013/05/24 17:34:35 - 54.214.177.148:  Remote file contents confirmed.
2013/05/24 17:34:35 - 54.214.64.205:   Remote file contents confirmed.
2013/05/24 17:34:35 - 54.214.150.134:  Checking EC2 instance is running.
2013/05/24 17:34:35 - 54.214.150.134:  Connecting via SSH.
2013/05/24 17:34:35 - 54.214.189.128:  Checking file contents.
2013/05/24 17:34:35 - 50.112.208.146:  Remote file contents confirmed.
2013/05/24 17:34:35 - 54.214.180.205:  Checking file contents.
2013/05/24 17:34:35 - 54.214.193.211:  Remote file contents confirmed.
2013/05/24 17:34:35 - 54.244.215.53:   Remote file contents confirmed.
2013/05/24 17:34:35 - 54.244.131.31:   Checking file contents.
2013/05/24 17:34:35 - 54.214.74.196:   Checking file contents.
2013/05/24 17:34:35 - 54.214.149.193:  Remote file contents confirmed.
2013/05/24 17:34:35 - 54.214.183.8:    Checking file contents.
2013/05/24 17:34:35 - 54.245.153.228:  Checking file contents.
2013/05/24 17:34:35 - 54.214.171.74:   Checking file contents.
2013/05/24 17:34:35 - 54.245.133.6:    Checking file contents.
2013/05/24 17:34:35 - 54.244.186.40:   Checking file contents.
2013/05/24 17:34:35 - 54.244.130.95:   Checking file contents.
2013/05/24 17:34:35 - 54.214.77.164:   Remote file contents confirmed.
2013/05/24 17:34:35 - 54.214.105.192:  Remote file contents confirmed.
2013/05/24 17:34:35 - 54.245.41.132:   Remote file contents confirmed.
2013/05/24 17:34:36 - 54.214.143.26:   Remote file contents confirmed.
2013/05/24 17:34:36 - 50.112.16.167:   Checking file contents.
2013/05/24 17:34:36 - 54.214.189.128:  Remote file contents confirmed.
2013/05/24 17:34:36 - 54.214.180.205:  Remote file contents confirmed.
2013/05/24 17:34:36 - 54.244.131.31:   Remote file contents confirmed.
2013/05/24 17:34:36 - 54.214.74.196:   Remote file contents confirmed.
2013/05/24 17:34:36 - 54.245.153.228:  Remote file contents confirmed.
2013/05/24 17:34:36 - 54.245.133.6:    Remote file contents confirmed.
2013/05/24 17:34:36 - 54.214.183.8:    Remote file contents confirmed.
2013/05/24 17:34:36 - 54.214.171.74:   Remote file contents confirmed.
2013/05/24 17:34:36 - 54.214.144.192:  Checking file contents.
2013/05/24 17:34:36 - 54.244.186.40:   Remote file contents confirmed.
2013/05/24 17:34:36 - 54.244.130.95:   Remote file contents confirmed.
2013/05/24 17:34:36 - 50.112.16.167:   Remote file contents confirmed.
2013/05/24 17:34:36 - 54.214.193.164:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.193.164:  Completed check of node 54.214.193.164.
2013/05/24 17:34:36 - 54.214.149.165:  Checking EC2 instance i-6aa6345f.
2013/05/24 17:34:36 - 54.244.158.152:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.177.148:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.177.148:  Completed check of node 54.214.177.148.
2013/05/24 17:34:36 - 54.244.158.152:  Completed check of node 54.244.158.152.
2013/05/24 17:34:36 - 54.214.68.166:   Checking EC2 instance i-54a63461.
2013/05/24 17:34:36 - 54.245.14.73:    Checking EC2 instance i-56a63463.
2013/05/24 17:34:36 - 54.214.64.205:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.64.205:   Completed check of node 54.214.64.205.
2013/05/24 17:34:36 - 54.244.190.102:  Checking EC2 instance i-50a63465.
2013/05/24 17:34:36 - 54.214.149.193:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.193.211:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.193.211:  Completed check of node 54.214.193.211.
2013/05/24 17:34:36 - 54.244.100.187:  Checking EC2 instance i-52a63467.
2013/05/24 17:34:36 - 54.244.215.53:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.244.215.53:   Completed check of node 54.244.215.53.
2013/05/24 17:34:36 - 54.244.130.33:   Checking EC2 instance i-5ca63469.
2013/05/24 17:34:36 - 50.112.208.146:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 50.112.208.146:  Completed check of node 50.112.208.146.
2013/05/24 17:34:36 - 54.245.59.186:   Checking EC2 instance i-5ea6346b.
2013/05/24 17:34:36 - 54.214.144.192:  Remote file contents confirmed.
2013/05/24 17:34:36 - 54.214.149.193:  Completed check of node 54.214.149.193.
2013/05/24 17:34:36 - 54.245.154.47:   Checking EC2 instance i-58a6346d.
2013/05/24 17:34:36 - 54.214.149.165:  Checking EC2 instance is running.
2013/05/24 17:34:36 - 54.214.149.165:  Connecting via SSH.
2013/05/24 17:34:36 - 54.214.77.164:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.77.164:   Completed check of node 54.214.77.164.
2013/05/24 17:34:36 - 54.245.148.148:  Checking EC2 instance i-5aa6346f.
2013/05/24 17:34:36 - 54.214.105.192:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.105.192:  Completed check of node 54.214.105.192.
2013/05/24 17:34:36 - 50.112.59.45:    Checking EC2 instance i-44a63471.
2013/05/24 17:34:36 - 54.245.14.73:    Checking EC2 instance is running.
2013/05/24 17:34:36 - 54.245.14.73:    Connecting via SSH.
2013/05/24 17:34:36 - 54.214.68.166:   Checking EC2 instance is running.
2013/05/24 17:34:36 - 54.214.68.166:   Connecting via SSH.
2013/05/24 17:34:36 - 54.214.189.128:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.189.128:  Completed check of node 54.214.189.128.
2013/05/24 17:34:36 - 54.245.58.90:    Checking EC2 instance i-46a63473.
2013/05/24 17:34:36 - 54.244.190.102:  Checking EC2 instance is running.
2013/05/24 17:34:36 - 54.244.190.102:  Connecting via SSH.
2013/05/24 17:34:36 - 54.214.143.26:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.143.26:   Completed check of node 54.214.143.26.
2013/05/24 17:34:36 - 54.244.156.55:   Checking EC2 instance i-40a63475.
2013/05/24 17:34:36 - 54.214.180.205:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.245.41.132:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.245.41.132:   Completed check of node 54.245.41.132.
2013/05/24 17:34:36 - 54.245.172.110:  Checking EC2 instance i-42a63477.
2013/05/24 17:34:36 - 54.244.130.33:   Checking EC2 instance is running.
2013/05/24 17:34:36 - 54.244.130.33:   Connecting via SSH.
2013/05/24 17:34:36 - 54.244.100.187:  Checking EC2 instance is running.
2013/05/24 17:34:36 - 54.244.100.187:  Connecting via SSH.
2013/05/24 17:34:36 - 54.245.59.186:   Checking EC2 instance is running.
2013/05/24 17:34:36 - 54.245.59.186:   Connecting via SSH.
2013/05/24 17:34:36 - 54.245.153.228:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.245.153.228:  Completed check of node 54.245.153.228.
2013/05/24 17:34:36 - 50.112.51.185:   Checking EC2 instance i-4ca63479.
2013/05/24 17:34:36 - 54.244.131.31:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.183.8:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.183.8:    Completed check of node 54.214.183.8.
2013/05/24 17:34:36 - 54.245.13.239:   Checking EC2 instance i-4ea6347b.
2013/05/24 17:34:36 - 54.245.133.6:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.245.133.6:    Completed check of node 54.245.133.6.
2013/05/24 17:34:36 - 50.112.231.53:   Checking EC2 instance i-48a6347d.
2013/05/24 17:34:36 - 54.214.180.205:  Completed check of node 54.214.180.205.
2013/05/24 17:34:36 - 54.214.107.253:  Checking EC2 instance i-4aa6347f.
2013/05/24 17:34:36 - 54.245.154.47:   Checking EC2 instance is running.
2013/05/24 17:34:36 - 54.245.154.47:   Connecting via SSH.
2013/05/24 17:34:36 - 54.214.74.196:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.74.196:   Completed check of node 54.214.74.196.
2013/05/24 17:34:36 - 54.245.12.60:    Checking EC2 instance i-b4a63481.
2013/05/24 17:34:36 - 54.214.171.74:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:36 - 54.214.171.74:   Completed check of node 54.214.171.74.
2013/05/24 17:34:36 - 50.112.2.199:    Checking EC2 instance i-b6a63483.
2013/05/24 17:34:36 - 54.245.148.148:  Checking EC2 instance is running.
2013/05/24 17:34:36 - 54.245.148.148:  Connecting via SSH.
2013/05/24 17:34:36 - 50.112.59.45:    Checking EC2 instance is running.
2013/05/24 17:34:36 - 50.112.59.45:    Connecting via SSH.
2013/05/24 17:34:37 - 54.244.131.31:   Completed check of node 54.244.131.31.
2013/05/24 17:34:37 - 54.244.180.152:  Checking EC2 instance i-b0a63485.
2013/05/24 17:34:37 - 50.112.16.167:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:37 - 50.112.16.167:   Completed check of node 50.112.16.167.
2013/05/24 17:34:37 - 54.244.76.249:   Checking EC2 instance i-b2a63487.
2013/05/24 17:34:37 - 54.245.58.90:    Checking EC2 instance is running.
2013/05/24 17:34:37 - 54.245.58.90:    Connecting via SSH.
2013/05/24 17:34:37 - 54.244.186.40:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:37 - 54.244.130.95:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/24 17:34:37 - 54.244.130.95:   Completed check of node 54.244.130.95.
