2012/02/03 18:13:51 - Connecting to AWS region us-west-2.
2012/02/03 18:13:51 - Calculating new unique cluster name for request 97.
2012/02/03 18:13:52 - Creating new cluster name, Thor-TVED.
2012/02/03 18:13:52 - Creating Thor-TVED security group.
2012/02/03 18:13:55 - Creating Thor-TVED key pair.
2012/02/03 18:13:57 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/02/03 18:13:58 - Reservation ID r-a4bdc494 created
2012/02/03 18:13:58 - Waiting for 11 of 11 nodes to launch.
2012/02/03 18:14:06 - Waiting for 11 of 11 nodes to launch.
2012/02/03 18:14:14 - Waiting for 11 of 11 nodes to launch.
2012/02/03 18:14:22 - Waiting for 10 of 11 nodes to launch.
2012/02/03 18:14:29 - Waiting for 5 of 11 nodes to launch.
2012/02/03 18:14:36 - Waiting for 2 of 11 nodes to launch.
2012/02/03 18:14:41 - Waiting for 2 of 11 nodes to launch.
2012/02/03 18:14:47 - Waiting for 1 of 11 nodes to launch.
2012/02/03 18:14:52 - Pending instances have completed.
2012/02/03 18:14:52 - Checking each node launched properly.
2012/02/03 18:22:14 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2012/02/03 18:22:15 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2012/02/03 18:22:15 - Checking file contents.
2012/02/03 18:22:15 - Remote file contents confirmed.
2012/02/03 18:22:15 - Running envgen
2012/02/03 18:22:16 - Reading the config file.
2012/02/03 18:22:17 - Retrieving IP address of ESP Server.
2012/02/03 18:22:17 - ESP Server private IP address: 10.252.2.22.
2012/02/03 18:22:17 - ESP Server public IP address: 50.112.7.177.
2012/02/03 18:22:17 - 50.112.29.109:   Starting node configuration.
2012/02/03 18:22:17 - 50.112.29.109:   Connecting via SSH.
2012/02/03 18:22:17 - 50.112.7.177:    Starting node configuration.
2012/02/03 18:22:17 - 50.112.7.177:    Connecting via SSH.
2012/02/03 18:22:17 - 50.112.31.12:    Starting node configuration.
2012/02/03 18:22:17 - 50.112.31.12:    Connecting via SSH.
2012/02/03 18:22:17 - 50.112.26.101:   Starting node configuration.
2012/02/03 18:22:17 - 50.112.26.101:   Connecting via SSH.
2012/02/03 18:22:17 - 50.112.47.33:    Starting node configuration.
2012/02/03 18:22:17 - 50.112.2.98:     Starting node configuration.
2012/02/03 18:22:17 - 50.112.52.79:    Starting node configuration.
2012/02/03 18:22:17 - 50.112.52.79:    Connecting via SSH.
2012/02/03 18:22:17 - 50.112.39.196:   Starting node configuration.
2012/02/03 18:22:17 - 50.112.34.223:   Starting node configuration.
2012/02/03 18:22:17 - 50.112.47.33:    Connecting via SSH.
2012/02/03 18:22:17 - 50.112.39.196:   Connecting via SSH.
2012/02/03 18:22:17 - 50.112.36.137:   Starting node configuration.
2012/02/03 18:22:17 - 50.112.2.98:     Connecting via SSH.
2012/02/03 18:22:17 - 50.112.34.223:   Connecting via SSH.
2012/02/03 18:22:17 - 50.112.31.114:   Starting node configuration.
2012/02/03 18:22:17 - 50.112.31.114:   Connecting via SSH.
2012/02/03 18:22:17 - 50.112.36.137:   Connecting via SSH.
2012/02/03 18:22:19 - 50.112.7.177:    Checking disk I/O
2012/02/03 18:22:19 - 50.112.29.109:   Checking disk I/O
2012/02/03 18:22:19 - 50.112.36.137:   Checking disk I/O
2012/02/03 18:22:19 - 50.112.34.223:   Checking disk I/O
2012/02/03 18:22:19 - 50.112.52.79:    Checking disk I/O
2012/02/03 18:22:19 - 50.112.47.33:    Checking disk I/O
2012/02/03 18:22:19 - 50.112.31.12:    Checking disk I/O
2012/02/03 18:22:19 - 50.112.39.196:   Checking disk I/O
2012/02/03 18:22:19 - 50.112.26.101:   Checking disk I/O
2012/02/03 18:22:19 - 50.112.7.177:    Checking software installation completed.
