2014/06/17 15:39:24 - Connecting to AWS region us-west-2.
2014/06/17 15:39:24 - Calculating new unique cluster name for request 819.
2014/06/17 15:39:25 - Creating new cluster name, Hpcc-5SB4.
2014/06/17 15:39:25 - Creating Hpcc-5SB4 security group.
2014/06/17 15:39:27 - Creating Hpcc-5SB4 key pair.
2014/06/17 15:39:29 - Launching 20 m1.large nodes using ami-2aadc71a.
2014/06/17 15:39:30 - Reservation ID r-32837139 created.
2014/06/17 15:39:30 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:38 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:45 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:53 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:00 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:07 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:15 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:22 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:30 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:37 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:45 - Waiting for 17 of 20 nodes to launch.
2014/06/17 15:40:53 - Waiting for 1 of 20 nodes to launch.
2014/06/17 15:40:58 - Pending instances have completed.
2014/06/17 15:40:58 - Checking each node launched properly.
2014/06/17 15:41:06 - 54.203.199.248:  Checking file contents.
2014/06/17 15:41:06 - 54.218.218.172:  Checking file contents.
2014/06/17 15:41:06 - 54.188.41.161:   Remote file contents confirmed.
2014/06/17 15:41:06 - 54.184.120.132:  Remote file contents confirmed.
2014/06/17 15:41:06 - 54.203.4.97:     Software installation finished.
2014/06/17 15:41:06 - 54.203.4.97:     Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:06 - 54.245.217.125:  Remote file contents confirmed.
2014/06/17 15:41:06 - 54.245.171.196:  Checking file contents.
2014/06/17 15:41:06 - 54.203.199.248:  Remote file contents confirmed.
2014/06/17 15:41:06 - 54.203.42.217:   Checking file contents.
2014/06/17 15:41:06 - 54.189.149.232:  Checking file contents.
2014/06/17 15:41:06 - 54.218.218.172:  Remote file contents confirmed.
2014/06/17 15:41:06 - 54.184.235.119:  Checking file contents.
2014/06/17 15:41:06 - 54.245.171.196:  Remote file contents confirmed.
2014/06/17 15:41:06 - 54.184.163.106:  Waiting on SSH connection.
2014/06/17 15:41:07 - 54.203.42.217:   Remote file contents confirmed.
2014/06/17 15:41:07 - 54.214.83.219:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:07 - 54.214.83.219:   Completed check of node 54.214.83.219.
2014/06/17 15:41:07 - 54.189.149.232:  Remote file contents confirmed.
2014/06/17 15:41:07 - 54.189.71.159:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:07 - 54.189.71.159:   Completed check of node 54.189.71.159.
2014/06/17 15:41:07 - 54.203.4.97:     Checking file contents.
2014/06/17 15:41:07 - 54.202.0.103:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:07 - 54.202.0.103:    Completed check of node 54.202.0.103.
2014/06/17 15:41:07 - 54.184.235.119:  Remote file contents confirmed.
2014/06/17 15:41:07 - 54.184.120.132:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
