2012/10/19 07:47:00 - Connecting to AWS region us-west-2.
2012/10/19 07:47:00 - Calculating new unique cluster name for request 352.
2012/10/19 07:47:01 - Creating new cluster name, Hpcc-5N28.
2012/10/19 07:47:01 - Creating Hpcc-5N28 security group.
2012/10/19 07:47:06 - Creating Hpcc-5N28 key pair.
2012/10/19 07:47:08 - Launching 11 m1.large nodes using ami-bcd4588c.
2012/10/19 07:47:09 - Reservation ID r-d30a75e0 created.
2012/10/19 07:47:09 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:17 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:25 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:33 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:41 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:49 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:57 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:48:05 - Waiting for 10 of 11 nodes to launch.
2012/10/19 07:48:13 - Waiting for 9 of 11 nodes to launch.
2012/10/19 07:48:21 - Waiting for 6 of 11 nodes to launch.
2012/10/19 07:48:28 - Waiting for 3 of 11 nodes to launch.
2012/10/19 07:48:33 - Waiting for 2 of 11 nodes to launch.
2012/10/19 07:48:39 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:48:44 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:48:50 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:48:55 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:49:00 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:49:05 - Pending instances have completed.
2012/10/19 07:49:05 - Checking each node launched properly.
2012/10/19 07:49:10 - 50.112.43.105:   Completed check of node 50.112.43.105.
2012/10/19 07:49:10 - 50.112.32.22:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:10 - 50.112.32.22:    Completed check of node 50.112.32.22.
2012/10/19 07:49:10 - 50.112.63.31:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:10 - 50.112.63.31:    Completed check of node 50.112.63.31.
2012/10/19 07:49:10 - 50.112.66.190:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:10 - 50.112.66.190:   Completed check of node 50.112.66.190.
2012/10/19 07:49:10 - 50.112.9.206:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:10 - 50.112.9.206:    Completed check of node 50.112.9.206.
2012/10/19 07:49:13 - 50.112.11.162:   Checking software installation completed.
2012/10/19 07:49:13 - 50.112.11.162:   Software installation finished.
2012/10/19 07:49:13 - 50.112.11.162:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:14 - 50.112.11.162:   Checking file contents.
2012/10/19 07:49:14 - 50.112.11.162:   Remote file contents confirmed.
2012/10/19 07:49:15 - 50.112.11.162:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:15 - 50.112.11.162:   Completed check of node 50.112.11.162.
2012/10/19 07:49:15 - Determining availability zone.
2012/10/19 07:49:15 - Gathering public and private ip addresses.
2012/10/19 07:49:15 - Connecting to node 54.245.39.38 for cluster configuration.
2012/10/19 07:49:15 - Connecting via SSH.
2012/10/19 07:49:16 - Checking software installation completed.
2012/10/19 07:49:16 - Software installation finished.
2012/10/19 07:49:16 - Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:17 - Checking file contents.
2012/10/19 07:49:17 - Remote file contents confirmed.
2012/10/19 07:49:18 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:18 - Writing cluster private ip addresses to file on instance.
2012/10/19 07:49:18 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2012/10/19 07:49:19 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2012/10/19 07:49:19 - Checking file contents.
2012/10/19 07:49:20 - Remote file contents confirmed.
2012/10/19 07:49:20 - Running envgen
2012/10/19 07:49:21 - Reading the config file.
2012/10/19 07:49:21 - Retrieving IP address of ESP Server.
2012/10/19 07:49:21 - ESP Server private IP address: 10.249.19.157.
2012/10/19 07:49:21 - ESP Server public IP address: 54.245.39.38.
2012/10/19 07:49:22 - 54.245.39.38:    Starting node configuration.
2012/10/19 07:49:22 - 54.245.39.38:    Connecting via SSH.
2012/10/19 07:49:22 - 50.112.14.242:   Starting node configuration.
2012/10/19 07:49:22 - 50.112.14.242:   Connecting via SSH.
2012/10/19 07:49:22 - 54.245.47.169:   Starting node configuration.
2012/10/19 07:49:22 - 54.245.47.169:   Connecting via SSH.
2012/10/19 07:49:22 - 50.112.66.190:   Starting node configuration.
2012/10/19 07:49:22 - 50.112.24.239:   Starting node configuration.
2012/10/19 07:49:22 - 54.245.48.39:    Starting node configuration.
2012/10/19 07:49:22 - 50.112.66.190:   Connecting via SSH.
2012/10/19 07:49:22 - 54.245.48.39:    Connecting via SSH.
2012/10/19 07:49:22 - 50.112.9.206:    Starting node configuration.
2012/10/19 07:49:22 - 50.112.11.162:   Starting node configuration.
2012/10/19 07:49:22 - 50.112.63.31:    Starting node configuration.
2012/10/19 07:49:22 - 50.112.63.31:    Connecting via SSH.
2012/10/19 07:49:22 - 50.112.24.239:   Connecting via SSH.
2012/10/19 07:49:22 - 50.112.9.206:    Connecting via SSH.
2012/10/19 07:49:22 - 50.112.11.162:   Connecting via SSH.
2012/10/19 07:49:22 - 50.112.32.22:    Starting node configuration.
2012/10/19 07:49:22 - 50.112.32.22:    Connecting via SSH.
2012/10/19 07:49:22 - 50.112.43.105:   Starting node configuration.
2012/10/19 07:49:22 - 50.112.43.105:   Connecting via SSH.
2012/10/19 07:49:24 - 54.245.47.169:   Checking software installation completed.
2012/10/19 07:49:24 - 50.112.14.242:   Checking software installation completed.
2012/10/19 07:49:24 - 54.245.47.169:   Software installation finished.
2012/10/19 07:49:24 - 54.245.47.169:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:24 - 50.112.9.206:    Checking software installation completed.
2012/10/19 07:49:24 - 54.245.39.38:    Checking software installation completed.
2012/10/19 07:49:24 - 50.112.43.105:   Checking software installation completed.
2012/10/19 07:49:24 - 50.112.32.22:    Checking software installation completed.
2012/10/19 07:49:24 - 50.112.66.190:   Checking software installation completed.
2012/10/19 07:49:24 - 50.112.24.239:   Checking software installation completed.
2012/10/19 07:49:24 - 54.245.48.39:    Checking software installation completed.
2012/10/19 07:49:24 - 50.112.11.162:   Checking software installation completed.
2012/10/19 07:49:24 - 50.112.14.242:   Software installation finished.
2012/10/19 07:49:24 - 50.112.14.242:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:24 - 50.112.63.31:    Checking software installation completed.
2012/10/19 07:49:24 - 50.112.9.206:    Software installation finished.
2012/10/19 07:49:24 - 50.112.9.206:    Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:24 - 50.112.32.22:    Software installation finished.
2012/10/19 07:49:24 - 50.112.32.22:    Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:24 - 50.112.43.105:   Software installation finished.
2012/10/19 07:49:24 - 50.112.43.105:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:24 - 54.245.39.38:    Software installation finished.
2012/10/19 07:49:24 - 54.245.39.38:    Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:24 - 54.245.48.39:    Software installation finished.
2012/10/19 07:49:24 - 54.245.48.39:    Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:24 - 50.112.66.190:   Software installation finished.
2012/10/19 07:49:24 - 50.112.66.190:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:24 - 50.112.24.239:   Software installation finished.
2012/10/19 07:49:24 - 50.112.24.239:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:24 - 50.112.11.162:   Software installation finished.
2012/10/19 07:49:24 - 50.112.11.162:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:24 - 50.112.63.31:    Software installation finished.
2012/10/19 07:49:24 - 50.112.63.31:    Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:24 - 54.245.47.169:   Checking file contents.
2012/10/19 07:49:25 - 50.112.14.242:   Checking file contents.
2012/10/19 07:49:25 - 50.112.9.206:    Checking file contents.
2012/10/19 07:49:25 - 54.245.47.169:   Remote file contents confirmed.
2012/10/19 07:49:25 - 50.112.24.239:   Checking file contents.
2012/10/19 07:49:25 - 50.112.43.105:   Checking file contents.
2012/10/19 07:49:25 - 50.112.32.22:    Checking file contents.
2012/10/19 07:49:25 - 54.245.39.38:    Checking file contents.
2012/10/19 07:49:25 - 54.245.48.39:    Checking file contents.
2012/10/19 07:49:25 - 50.112.66.190:   Checking file contents.
2012/10/19 07:49:25 - 50.112.11.162:   Checking file contents.
2012/10/19 07:49:25 - 50.112.63.31:    Checking file contents.
2012/10/19 07:49:25 - 50.112.14.242:   Remote file contents confirmed.
2012/10/19 07:49:25 - 50.112.9.206:    Remote file contents confirmed.
2012/10/19 07:49:25 - 50.112.24.239:   Remote file contents confirmed.
2012/10/19 07:49:25 - 50.112.32.22:    Remote file contents confirmed.
2012/10/19 07:49:25 - 50.112.43.105:   Remote file contents confirmed.
2012/10/19 07:49:25 - 54.245.39.38:    Remote file contents confirmed.
2012/10/19 07:49:25 - 50.112.66.190:   Remote file contents confirmed.
2012/10/19 07:49:25 - 54.245.48.39:    Remote file contents confirmed.
2012/10/19 07:49:25 - 50.112.11.162:   Remote file contents confirmed.
2012/10/19 07:49:25 - 50.112.63.31:    Remote file contents confirmed.
2012/10/19 07:49:26 - 54.245.47.169:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:26 - 54.245.47.169:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/10/19 07:49:26 - 50.112.9.206:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:26 - 50.112.9.206:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/10/19 07:49:26 - 50.112.14.242:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:26 - 50.112.14.242:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/10/19 07:49:26 - 50.112.24.239:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:26 - 50.112.24.239:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/10/19 07:49:26 - 50.112.32.22:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:26 - 50.112.32.22:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/10/19 07:49:26 - 50.112.43.105:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:26 - 50.112.43.105:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/10/19 07:49:26 - 50.112.11.162:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:26 - 50.112.11.162:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/10/19 07:49:26 - 54.245.39.38:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:26 - 54.245.39.38:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/10/19 07:49:26 - 54.245.48.39:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:26 - 54.245.48.39:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/10/19 07:49:26 - 50.112.66.190:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:26 - 50.112.66.190:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/10/19 07:49:26 - 50.112.63.31:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:26 - 50.112.63.31:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/10/19 07:49:27 - 54.245.47.169:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/10/19 07:49:27 - 50.112.9.206:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/10/19 07:49:27 - 50.112.14.242:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/10/19 07:49:27 - 50.112.24.239:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/10/19 07:49:27 - 54.245.39.38:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/10/19 07:49:27 - 50.112.32.22:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/10/19 07:49:27 - 50.112.43.105:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/10/19 07:49:27 - 50.112.66.190:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/10/19 07:49:27 - 54.245.48.39:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/10/19 07:49:27 - 50.112.11.162:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/10/19 07:49:27 - 54.245.47.169:   Checking file contents.
2012/10/19 07:49:27 - 50.112.63.31:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/10/19 07:49:27 - 50.112.9.206:    Checking file contents.
2012/10/19 07:49:27 - 50.112.14.242:   Checking file contents.
2012/10/19 07:49:27 - 54.245.39.38:    Checking file contents.
2012/10/19 07:49:27 - 50.112.24.239:   Checking file contents.
2012/10/19 07:49:27 - 50.112.32.22:    Checking file contents.
2012/10/19 07:49:27 - 50.112.43.105:   Checking file contents.
2012/10/19 07:49:27 - 50.112.66.190:   Checking file contents.
2012/10/19 07:49:27 - 54.245.48.39:    Checking file contents.
2012/10/19 07:49:27 - 50.112.11.162:   Checking file contents.
2012/10/19 07:49:27 - 50.112.63.31:    Checking file contents.
2012/10/19 07:49:28 - 54.245.47.169:   Remote file contents confirmed.
2012/10/19 07:49:28 - 54.245.47.169:   Starting HPCC Platform Community Edition: 3.6.0-1.
2012/10/19 07:49:28 - 50.112.9.206:    Remote file contents confirmed.
2012/10/19 07:49:28 - 50.112.9.206:    Starting HPCC Platform Community Edition: 3.6.0-1.
2012/10/19 07:49:28 - 50.112.14.242:   Remote file contents confirmed.
2012/10/19 07:49:28 - 50.112.14.242:   Starting HPCC Platform Community Edition: 3.6.0-1.
2012/10/19 07:49:28 - 54.245.39.38:    Remote file contents confirmed.
2012/10/19 07:49:28 - 54.245.39.38:    Starting HPCC Platform Community Edition: 3.6.0-1.
2012/10/19 07:49:28 - 50.112.66.190:   Remote file contents confirmed.
2012/10/19 07:49:28 - 50.112.66.190:   Starting HPCC Platform Community Edition: 3.6.0-1.
2012/10/19 07:49:28 - 50.112.24.239:   Remote file contents confirmed.
2012/10/19 07:49:28 - 50.112.24.239:   Starting HPCC Platform Community Edition: 3.6.0-1.
2012/10/19 07:49:28 - 50.112.32.22:    Remote file contents confirmed.
2012/10/19 07:49:28 - 50.112.32.22:    Starting HPCC Platform Community Edition: 3.6.0-1.
2012/10/19 07:49:28 - 50.112.11.162:   Remote file contents confirmed.
2012/10/19 07:49:28 - 50.112.11.162:   Starting HPCC Platform Community Edition: 3.6.0-1.
2012/10/19 07:49:28 - 54.245.48.39:    Remote file contents confirmed.
2012/10/19 07:49:28 - 54.245.48.39:    Starting HPCC Platform Community Edition: 3.6.0-1.
2012/10/19 07:49:28 - 50.112.43.105:   Remote file contents confirmed.
2012/10/19 07:49:28 - 50.112.43.105:   Starting HPCC Platform Community Edition: 3.6.0-1.
2012/10/19 07:49:28 - 50.112.63.31:    Remote file contents confirmed.
2012/10/19 07:49:28 - 50.112.63.31:    Starting HPCC Platform Community Edition: 3.6.0-1.
2012/10/19 07:49:31 - 50.112.43.105:   Starting mydafilesrv....       [  OK  ]  
2012/10/19 07:49:31 - 50.112.32.22:    Starting mydafilesrv....       [  OK  ]  
2012/10/19 07:49:31 - 50.112.32.22:    Start node is complete.
2012/10/19 07:49:31 - 50.112.43.105:   Start node is complete.
2012/10/19 07:49:31 - 50.112.11.162:   Starting mydafilesrv....       [  OK  ]  
2012/10/19 07:49:31 - 50.112.11.162:   Start node is complete.
2012/10/19 07:49:32 - 50.112.63.31:    Starting mydafilesrv....       [  OK  ]  
2012/10/19 07:49:32 - 50.112.63.31:    Start node is complete.
2012/10/19 07:49:32 - 54.245.47.169:   Starting mydafilesrv....       [  OK  ]   
2012/10/19 07:49:32 - 54.245.47.169:   Starting mydfuserver....       [  OK  ]  
2012/10/19 07:49:32 - 54.245.47.169:   Start node is complete.
2012/10/19 07:49:32 - 50.112.9.206:    Starting mydafilesrv....       [  OK  ]   
2012/10/19 07:49:32 - 50.112.9.206:    Starting myeclccserver....     [  OK  ]  
2012/10/19 07:49:32 - 50.112.9.206:    Start node is complete.
2012/10/19 07:49:32 - 50.112.14.242:   Starting mydafilesrv....       [  OK  ]   
2012/10/19 07:49:32 - 50.112.14.242:   Starting mydali....            [  OK  ]  
2012/10/19 07:49:32 - 54.245.48.39:    Starting mydafilesrv....       [  OK  ]   
2012/10/19 07:49:32 - 54.245.48.39:    Starting myeclagent....        [  OK  ]  
2012/10/19 07:49:32 - 54.245.48.39:    Start node is complete.
