2012/11/20 04:25:22 - Connecting to AWS region us-west-2.
2012/11/20 04:25:22 - Calculating new unique cluster name for request 412.
2012/11/20 04:25:22 - Creating new cluster name, Hpcc-2M4P.
2012/11/20 04:25:22 - Creating Hpcc-2M4P security group.
2012/11/20 04:25:26 - Creating Hpcc-2M4P key pair.
2012/11/20 04:25:27 - Launching 13 m1.large nodes using ami-e01698d0.
2012/11/20 04:25:28 - Reservation ID r-07684834 created.
2012/11/20 04:25:28 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:25:37 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:25:45 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:25:54 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:26:02 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:26:11 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:26:20 - Waiting for 10 of 13 nodes to launch.
2012/11/20 04:26:28 - Waiting for 6 of 13 nodes to launch.
2012/11/20 04:26:35 - Waiting for 4 of 13 nodes to launch.
2012/11/20 04:26:41 - Waiting for 2 of 13 nodes to launch.
2012/11/20 04:26:47 - Waiting for 2 of 13 nodes to launch.
2012/11/20 04:26:52 - Waiting for 1 of 13 nodes to launch.
2012/11/20 04:26:57 - Pending instances have completed.
2012/11/20 04:26:57 - Checking each node launched properly.
2012/11/20 04:27:08 - 50.112.6.56:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:08 - 50.112.6.56:     Completed check of node 50.112.6.56.
2012/11/20 04:27:08 - 50.112.8.210:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:08 - 50.112.8.210:    Completed check of node 50.112.8.210.
2012/11/20 04:27:17 - 50.112.39.43:    Software installation finished.
2012/11/20 04:27:17 - 50.112.39.43:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:17 - 50.112.39.43:    Checking file contents.
2012/11/20 04:27:18 - 50.112.39.43:    Remote file contents confirmed.
2012/11/20 04:27:19 - 50.112.39.43:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:19 - 50.112.39.43:    Completed check of node 50.112.39.43.
2012/11/20 04:27:19 - Determining availability zone.
2012/11/20 04:27:19 - Gathering public and private ip addresses.
2012/11/20 04:27:19 - Connecting to node 50.112.202.38 for cluster configuration.
2012/11/20 04:27:19 - Connecting via SSH.
2012/11/20 04:27:20 - Checking software installation completed.
2012/11/20 04:27:20 - Software installation finished.
2012/11/20 04:27:20 - Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:21 - Checking file contents.
2012/11/20 04:27:21 - Remote file contents confirmed.
2012/11/20 04:27:22 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:22 - Writing cluster private ip addresses to file on instance.
2012/11/20 04:27:22 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2012/11/20 04:27:23 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2012/11/20 04:27:23 - Checking file contents.
2012/11/20 04:27:23 - Remote file contents confirmed.
2012/11/20 04:27:23 - Running envgen
2012/11/20 04:27:24 - Reading the config file.
2012/11/20 04:27:25 - Retrieving IP address of ESP Server.
2012/11/20 04:27:25 - ESP Server private IP address: 10.249.6.10.
2012/11/20 04:27:25 - ESP Server public IP address: 50.112.202.38.
2012/11/20 04:27:25 - 50.112.202.38:   Starting node configuration.
2012/11/20 04:27:25 - 50.112.202.38:   Connecting via SSH.
2012/11/20 04:27:25 - 54.245.37.86:    Starting node configuration.
2012/11/20 04:27:25 - 54.245.37.86:    Connecting via SSH.
2012/11/20 04:27:25 - 54.245.29.21:    Starting node configuration.
2012/11/20 04:27:25 - 50.112.230.251:  Starting node configuration.
2012/11/20 04:27:25 - 54.245.29.21:    Connecting via SSH.
2012/11/20 04:27:25 - 54.245.39.230:   Starting node configuration.
2012/11/20 04:27:25 - 54.245.32.49:    Starting node configuration.
2012/11/20 04:27:25 - 54.245.39.230:   Connecting via SSH.
2012/11/20 04:27:25 - 54.245.46.17:    Starting node configuration.
2012/11/20 04:27:25 - 50.112.39.43:    Starting node configuration.
2012/11/20 04:27:25 - 54.245.46.17:    Connecting via SSH.
2012/11/20 04:27:25 - 54.245.140.111:  Starting node configuration.
2012/11/20 04:27:25 - 50.112.39.43:    Connecting via SSH.
2012/11/20 04:27:25 - 54.245.32.49:    Connecting via SSH.
2012/11/20 04:27:25 - 50.112.30.220:   Starting node configuration.
2012/11/20 04:27:25 - 50.112.8.210:    Starting node configuration.
2012/11/20 04:27:25 - 50.112.230.251:  Connecting via SSH.
2012/11/20 04:27:25 - 54.245.140.111:  Connecting via SSH.
2012/11/20 04:27:25 - 50.112.8.210:    Connecting via SSH.
2012/11/20 04:27:25 - 50.112.30.220:   Connecting via SSH.
2012/11/20 04:27:25 - 50.112.9.148:    Starting node configuration.
2012/11/20 04:27:25 - 50.112.9.148:    Connecting via SSH.
2012/11/20 04:27:25 - 50.112.6.56:     Starting node configuration.
2012/11/20 04:27:25 - 50.112.6.56:     Connecting via SSH.
2012/11/20 04:27:28 - 50.112.9.148:    Checking software installation completed.
2012/11/20 04:27:28 - 50.112.30.220:   Checking software installation completed.
2012/11/20 04:27:28 - 50.112.8.210:    Checking software installation completed.
2012/11/20 04:27:28 - 50.112.202.38:   Checking software installation completed.
2012/11/20 04:27:28 - 54.245.39.230:   Checking software installation completed.
2012/11/20 04:27:28 - 54.245.29.21:    Checking software installation completed.
2012/11/20 04:27:28 - 50.112.6.56:     Checking software installation completed.
2012/11/20 04:27:28 - 54.245.32.49:    Checking software installation completed.
2012/11/20 04:27:28 - 54.245.140.111:  Checking software installation completed.
2012/11/20 04:27:28 - 50.112.230.251:  Checking software installation completed.
