2012/12/03 06:15:57 - 50.112.56.42:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:15:57 - 50.112.56.42:    Completed check of node 50.112.56.42.
2012/12/03 06:15:58 - 54.245.135.111:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:15:58 - 54.245.135.111:  Completed check of node 54.245.135.111.
2012/12/03 06:15:58 - 54.245.35.146:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:15:58 - 54.245.35.146:   Completed check of node 54.245.35.146.
2012/12/03 06:15:58 - 54.245.10.149:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:15:58 - 54.245.10.149:   Completed check of node 54.245.10.149.
2012/12/03 06:15:58 - Determining availability zone.
2012/12/03 06:15:58 - Gathering public and private ip addresses.
2012/12/03 06:15:58 - Connecting to node 54.245.43.241 for cluster configuration.
2012/12/03 06:15:58 - Connecting via SSH.
2012/12/03 06:15:59 - Checking software installation completed.
2012/12/03 06:15:59 - Software installation finished.
2012/12/03 06:15:59 - Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:16:00 - Checking file contents.
2012/12/03 06:16:00 - Remote file contents confirmed.
2012/12/03 06:16:01 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:16:01 - Writing cluster private ip addresses to file on instance.
2012/12/03 06:16:01 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2012/12/03 06:16:02 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2012/12/03 06:16:02 - Checking file contents.
2012/12/03 06:16:02 - Remote file contents confirmed.
2012/12/03 06:16:02 - Running envgen
2012/12/03 06:16:04 - Reading the config file.
2012/12/03 06:16:04 - Retrieving IP address of ESP Server.
2012/12/03 06:16:04 - ESP Server private IP address: 10.252.12.168.
2012/12/03 06:16:04 - ESP Server public IP address: 54.245.43.241.
2012/12/03 06:16:05 - 54.245.5.23:     Starting node configuration.
2012/12/03 06:16:05 - 54.245.5.23:     Connecting via SSH.
2012/12/03 06:16:05 - 54.245.43.241:   Starting node configuration.
2012/12/03 06:16:05 - 50.112.56.42:    Starting node configuration.
2012/12/03 06:16:05 - 50.112.56.42:    Connecting via SSH.
2012/12/03 06:16:05 - 54.245.10.149:   Starting node configuration.
2012/12/03 06:16:05 - 54.245.10.149:   Connecting via SSH.
2012/12/03 06:16:05 - 50.112.14.20:    Starting node configuration.
2012/12/03 06:16:05 - 50.112.14.20:    Connecting via SSH.
2012/12/03 06:16:05 - 54.245.43.241:   Connecting via SSH.
2012/12/03 06:16:05 - 54.245.35.146:   Starting node configuration.
2012/12/03 06:16:05 - 54.245.35.146:   Connecting via SSH.
2012/12/03 06:16:05 - 54.245.133.233:  Starting node configuration.
2012/12/03 06:16:05 - 50.112.212.31:   Starting node configuration.
2012/12/03 06:16:05 - 54.245.133.233:  Connecting via SSH.
2012/12/03 06:16:05 - 50.112.212.31:   Connecting via SSH.
2012/12/03 06:16:05 - 54.245.139.160:  Starting node configuration.
2012/12/03 06:16:05 - 54.245.139.160:  Connecting via SSH.
2012/12/03 06:16:05 - 54.245.135.111:  Starting node configuration.
2012/12/03 06:16:05 - 54.245.135.111:  Connecting via SSH.
2012/12/03 06:16:05 - 50.112.213.254:  Starting node configuration.
2012/12/03 06:16:05 - 50.112.213.254:  Connecting via SSH.
2012/12/03 06:16:07 - 54.245.10.149:   Checking software installation completed.
2012/12/03 06:16:07 - 50.112.56.42:    Checking software installation completed.
2012/12/03 06:16:07 - 54.245.35.146:   Checking software installation completed.
2012/12/03 06:16:07 - 50.112.213.254:  Checking software installation completed.
2012/12/03 06:16:07 - 54.245.43.241:   Checking software installation completed.
2012/12/03 06:16:07 - 54.245.135.111:  Checking software installation completed.
2012/12/03 06:16:07 - 54.245.139.160:  Checking software installation completed.
2012/12/03 06:16:07 - 50.112.14.20:    Checking software installation completed.
2012/12/03 06:16:07 - 54.245.133.233:  Checking software installation completed.
2012/12/03 06:16:07 - 50.112.212.31:   Checking software installation completed.
2012/12/03 06:16:07 - 54.245.5.23:     Checking software installation completed.
2012/12/03 06:16:07 - 54.245.10.149:   Software installation finished.
2012/12/03 06:16:07 - 54.245.10.149:   Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:16:07 - 50.112.56.42:    Software installation finished.
2012/12/03 06:16:07 - 50.112.56.42:    Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:16:07 - 54.245.35.146:   Software installation finished.
2012/12/03 06:16:07 - 54.245.35.146:   Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:16:07 - 50.112.213.254:  Software installation finished.
2012/12/03 06:16:07 - 50.112.213.254:  Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:16:07 - 54.245.135.111:  Software installation finished.
2012/12/03 06:16:07 - 54.245.135.111:  Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:16:07 - 54.245.43.241:   Software installation finished.
2012/12/03 06:16:07 - 54.245.43.241:   Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:16:07 - 50.112.14.20:    Software installation finished.
2012/12/03 06:16:07 - 50.112.14.20:    Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:16:07 - 54.245.139.160:  Software installation finished.
2012/12/03 06:16:07 - 54.245.139.160:  Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:16:07 - 54.245.133.233:  Software installation finished.
2012/12/03 06:16:07 - 54.245.133.233:  Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:16:07 - 50.112.212.31:   Software installation finished.
2012/12/03 06:16:07 - 50.112.212.31:   Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:16:07 - 54.245.5.23:     Software installation finished.
2012/12/03 06:16:07 - 54.245.5.23:     Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:16:08 - 54.245.10.149:   Checking file contents.
2012/12/03 06:16:08 - 54.245.35.146:   Checking file contents.
2012/12/03 06:16:08 - 50.112.56.42:    Checking file contents.
2012/12/03 06:16:08 - 50.112.213.254:  Checking file contents.
2012/12/03 06:16:08 - 54.245.135.111:  Checking file contents.
2012/12/03 06:16:08 - 54.245.43.241:   Checking file contents.
2012/12/03 06:16:08 - 50.112.14.20:    Checking file contents.
2012/12/03 06:16:08 - 54.245.139.160:  Checking file contents.
2012/12/03 06:16:08 - 54.245.133.233:  Checking file contents.
2012/12/03 06:16:08 - 50.112.212.31:   Checking file contents.
2012/12/03 06:16:08 - 54.245.5.23:     Checking file contents.
2012/12/03 06:16:08 - 54.245.10.149:   Remote file contents confirmed.
2012/12/03 06:16:08 - 54.245.35.146:   Remote file contents confirmed.
2012/12/03 06:16:08 - 50.112.56.42:    Remote file contents confirmed.
2012/12/03 06:16:08 - 50.112.213.254:  Remote file contents confirmed.
2012/12/03 06:16:08 - 54.245.135.111:  Remote file contents confirmed.
2012/12/03 06:16:08 - 54.245.43.241:   Remote file contents confirmed.
2012/12/03 06:16:08 - 50.112.14.20:    Remote file contents confirmed.
2012/12/03 06:16:08 - 54.245.139.160:  Remote file contents confirmed.
2012/12/03 06:16:08 - 54.245.133.233:  Remote file contents confirmed.
2012/12/03 06:16:08 - 50.112.212.31:   Remote file contents confirmed.
2012/12/03 06:16:08 - 54.245.5.23:     Remote file contents confirmed.
2012/12/03 06:16:09 - 54.245.10.149:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:16:09 - 54.245.10.149:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/12/03 06:16:09 - 54.245.35.146:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:16:09 - 54.245.35.146:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/12/03 06:16:09 - 50.112.56.42:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:16:09 - 50.112.56.42:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/12/03 06:16:09 - 50.112.213.254:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:16:09 - 50.112.213.254:  Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/12/03 06:16:09 - 54.245.135.111:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:16:09 - 54.245.135.111:  Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/12/03 06:16:09 - 54.245.43.241:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:16:09 - 54.245.43.241:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/12/03 06:16:09 - 50.112.212.31:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:16:09 - 50.112.212.31:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/12/03 06:16:09 - 54.245.133.233:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:16:09 - 54.245.133.233:  Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/12/03 06:16:09 - 50.112.14.20:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:16:09 - 50.112.14.20:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/12/03 06:16:09 - 54.245.139.160:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:16:09 - 54.245.139.160:  Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/12/03 06:16:09 - 54.245.5.23:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:16:09 - 54.245.5.23:     Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/12/03 06:16:10 - 54.245.10.149:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/12/03 06:16:10 - 54.245.35.146:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/12/03 06:16:10 - 50.112.213.254:  Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/12/03 06:16:10 - 54.245.135.111:  Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/12/03 06:16:10 - 50.112.56.42:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/12/03 06:16:10 - 54.245.43.241:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/12/03 06:16:10 - 54.245.5.23:     Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/12/03 06:16:10 - 54.245.10.149:   Checking file contents.
2012/12/03 06:16:10 - 54.245.35.146:   Checking file contents.
2012/12/03 06:16:10 - 50.112.212.31:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/12/03 06:16:10 - 54.245.133.233:  Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/12/03 06:16:10 - 50.112.14.20:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/12/03 06:16:10 - 54.245.139.160:  Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/12/03 06:16:10 - 50.112.213.254:  Checking file contents.
2012/12/03 06:16:10 - 54.245.135.111:  Checking file contents.
2012/12/03 06:16:10 - 54.245.43.241:   Checking file contents.
2012/12/03 06:16:10 - 50.112.56.42:    Checking file contents.
2012/12/03 06:16:10 - 54.245.5.23:     Checking file contents.
2012/12/03 06:16:10 - 50.112.212.31:   Checking file contents.
2012/12/03 06:16:10 - 54.245.133.233:  Checking file contents.
2012/12/03 06:16:10 - 50.112.14.20:    Checking file contents.
2012/12/03 06:16:10 - 54.245.139.160:  Checking file contents.
2012/12/03 06:16:10 - 54.245.10.149:   Remote file contents confirmed.
2012/12/03 06:16:10 - 54.245.10.149:   Starting HPCC Platform Community Edition: 3.8.2-2.
2012/12/03 06:16:11 - 54.245.35.146:   Remote file contents confirmed.
2012/12/03 06:16:11 - 54.245.35.146:   Starting HPCC Platform Community Edition: 3.8.2-2.
2012/12/03 06:16:11 - 50.112.213.254:  Remote file contents confirmed.
2012/12/03 06:16:11 - 50.112.213.254:  Starting HPCC Platform Community Edition: 3.8.2-2.
2012/12/03 06:16:11 - 54.245.135.111:  Remote file contents confirmed.
2012/12/03 06:16:11 - 54.245.135.111:  Starting HPCC Platform Community Edition: 3.8.2-2.
2012/12/03 06:16:11 - 54.245.43.241:   Remote file contents confirmed.
2012/12/03 06:16:11 - 54.245.43.241:   Starting HPCC Platform Community Edition: 3.8.2-2.
