2012/01/31 22:45:41 - Connecting to AWS region us-west-2.
2012/01/31 22:45:41 - Calculating new unique cluster name for request 69.
2012/01/31 22:45:42 - Creating new cluster name, Thor-V3DN.
2012/01/31 22:45:42 - Creating Thor-V3DN security group.
2012/01/31 22:45:46 - Creating Thor-V3DN key pair.
2012/01/31 22:45:46 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/01/31 22:45:47 - Reservation ID r-46c1be76 created
2012/01/31 22:45:47 - Waiting for 11 of 11 nodes to launch.
2012/01/31 22:45:55 - Waiting for 11 of 11 nodes to launch.
2012/01/31 22:46:04 - Waiting for 11 of 11 nodes to launch.
2012/01/31 22:46:11 - Waiting for 9 of 11 nodes to launch.
2012/01/31 22:46:19 - Waiting for 2 of 11 nodes to launch.
2012/01/31 22:46:24 - Pending instances have completed.
2012/01/31 22:46:24 - Checking each node launched properly.
2012/01/31 22:46:58 - 50.112.26.44:    Waiting for software to install.
2012/01/31 22:47:00 - 50.112.17.43:    Waiting for software to install.
2012/01/31 22:47:00 - 50.112.47.150:   Waiting for software to install.
2012/01/31 22:47:00 - 50.112.5.95:     Waiting for software to install.
2012/01/31 22:47:00 - 50.112.50.234:   Waiting for software to install.
2012/01/31 22:47:00 - 50.112.19.20:    Waiting for software to install.
2012/01/31 22:47:00 - 50.112.46.41:    Waiting for software to install.
2012/01/31 22:47:01 - 50.112.48.254:   Waiting for software to install.
2012/01/31 22:47:01 - 50.112.26.73:    Waiting for software to install.
2012/01/31 22:47:01 - 50.112.4.145:    Waiting for software to install.
2012/01/31 22:47:02 - 50.112.22.21:    Waiting for software to install.
2012/01/31 22:47:08 - 50.112.26.44:    Waiting for software to install.
2012/01/31 22:47:10 - 50.112.17.43:    Waiting for software to install.
2012/01/31 22:47:10 - 50.112.47.150:   Waiting for software to install.
2012/01/31 22:47:10 - 50.112.5.95:     Waiting for software to install.
2012/01/31 22:47:10 - 50.112.50.234:   Software installation finished.
2012/01/31 22:47:10 - 50.112.19.20:    Software installation finished.
2012/01/31 22:47:10 - 50.112.19.20:    Completed check of node 50.112.19.20.
2012/01/31 22:47:10 - 50.112.50.234:   Completed check of node 50.112.50.234.
2012/01/31 22:47:11 - 50.112.46.41:    Waiting for software to install.
2012/01/31 22:47:11 - 50.112.48.254:   Waiting for software to install.
2012/01/31 22:47:11 - 50.112.26.73:    Waiting for software to install.
2012/01/31 22:47:11 - 50.112.4.145:    Waiting for software to install.
2012/01/31 22:47:12 - 50.112.22.21:    Waiting for software to install.
2012/01/31 22:47:18 - 50.112.26.44:    Waiting for software to install.
2012/01/31 22:47:20 - 50.112.17.43:    Software installation finished.
2012/01/31 22:47:20 - 50.112.17.43:    Completed check of node 50.112.17.43.
2012/01/31 22:47:20 - 50.112.47.150:   Software installation finished.
2012/01/31 22:47:20 - 50.112.47.150:   Completed check of node 50.112.47.150.
2012/01/31 22:47:20 - 50.112.5.95:     Software installation finished.
2012/01/31 22:47:20 - 50.112.5.95:     Completed check of node 50.112.5.95.
2012/01/31 22:47:21 - 50.112.46.41:    Software installation finished.
2012/01/31 22:47:21 - 50.112.46.41:    Completed check of node 50.112.46.41.
2012/01/31 22:47:21 - 50.112.48.254:   Software installation finished.
2012/01/31 22:47:21 - 50.112.48.254:   Completed check of node 50.112.48.254.
2012/01/31 22:47:22 - 50.112.26.73:    Software installation finished.
2012/01/31 22:47:22 - 50.112.26.73:    Completed check of node 50.112.26.73.
2012/01/31 22:47:22 - 50.112.4.145:    Software installation finished.
2012/01/31 22:47:22 - 50.112.4.145:    Completed check of node 50.112.4.145.
2012/01/31 22:47:22 - 50.112.22.21:    Software installation finished.
2012/01/31 22:47:22 - 50.112.22.21:    Completed check of node 50.112.22.21.
2012/01/31 22:47:28 - 50.112.26.44:    Software installation finished.
2012/01/31 22:47:28 - 50.112.26.44:    Completed check of node 50.112.26.44.
2012/01/31 22:47:28 - Determining availability zone.
2012/01/31 22:47:28 - Gathering public and private ip addresses.
2012/01/31 22:47:28 - Connecting to node 50.112.17.43 for cluster configuration.
2012/01/31 22:47:28 - Connecting via SSH.
2012/01/31 22:47:30 - Checking network mask is compatible.
2012/01/31 22:47:30 - Checking disk I/O
2012/01/31 22:47:30 - Checking software installation completed.
2012/01/31 22:47:31 - Software installation finished.
2012/01/31 22:47:31 - Writing cluster private ip addresses to file on instance.
2012/01/31 22:47:31 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2012/01/31 22:47:31 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2012/01/31 22:47:32 - Checking file contents.
2012/01/31 22:47:32 - Remote file contents confirmed.
2012/01/31 22:47:32 - Running envgen
2012/01/31 22:47:32 - Reading the config file.
2012/01/31 22:47:33 - Retrieving IP address of ESP Server.
2012/01/31 22:47:34 - ESP Server private IP address: 10.252.29.240.
2012/01/31 22:47:34 - ESP Server public IP address: 50.112.17.43.
2012/01/31 22:47:34 - 50.112.19.20:    Starting node configuration.
2012/01/31 22:47:34 - 50.112.4.145:    Starting node configuration.
2012/01/31 22:47:34 - 50.112.17.43:    Starting node configuration.
2012/01/31 22:47:34 - 50.112.17.43:    Connecting via SSH.
2012/01/31 22:47:34 - 50.112.4.145:    Connecting via SSH.
2012/01/31 22:47:34 - 50.112.5.95:     Starting node configuration.
2012/01/31 22:47:34 - 50.112.19.20:    Connecting via SSH.
2012/01/31 22:47:34 - 50.112.5.95:     Connecting via SSH.
2012/01/31 22:47:34 - 50.112.46.41:    Starting node configuration.
2012/01/31 22:47:34 - 50.112.48.254:   Starting node configuration.
2012/01/31 22:47:34 - 50.112.46.41:    Connecting via SSH.
2012/01/31 22:47:34 - 50.112.48.254:   Connecting via SSH.
2012/01/31 22:47:34 - 50.112.26.73:    Starting node configuration.
2012/01/31 22:47:34 - 50.112.50.234:   Starting node configuration.
2012/01/31 22:47:34 - 50.112.50.234:   Connecting via SSH.
2012/01/31 22:47:34 - 50.112.26.73:    Connecting via SSH.
2012/01/31 22:47:34 - 50.112.22.21:    Starting node configuration.
2012/01/31 22:47:34 - 50.112.22.21:    Connecting via SSH.
2012/01/31 22:47:34 - 50.112.26.44:    Starting node configuration.
2012/01/31 22:47:34 - 50.112.26.44:    Connecting via SSH.
2012/01/31 22:47:34 - 50.112.47.150:   Starting node configuration.
2012/01/31 22:47:34 - 50.112.47.150:   Connecting via SSH.
2012/01/31 22:47:36 - 50.112.19.20:    Checking network mask is compatible.
2012/01/31 22:47:36 - 50.112.19.20:    Checking disk I/O
2012/01/31 22:47:36 - 50.112.5.95:     Checking network mask is compatible.
2012/01/31 22:47:36 - 50.112.5.95:     Checking disk I/O
2012/01/31 22:47:36 - 50.112.48.254:   Checking network mask is compatible.
2012/01/31 22:47:36 - 50.112.48.254:   Checking disk I/O
2012/01/31 22:47:36 - 50.112.47.150:   Checking network mask is compatible.
2012/01/31 22:47:36 - 50.112.47.150:   Checking disk I/O
2012/01/31 22:47:36 - 50.112.4.145:    Checking network mask is compatible.
2012/01/31 22:47:36 - 50.112.4.145:    Checking disk I/O
2012/01/31 22:47:36 - 50.112.17.43:    Checking network mask is compatible.
2012/01/31 22:47:36 - 50.112.17.43:    Checking disk I/O
2012/01/31 22:47:36 - 50.112.46.41:    Checking network mask is compatible.
2012/01/31 22:47:36 - 50.112.46.41:    Checking disk I/O
2012/01/31 22:47:36 - 50.112.19.20:    Checking software installation completed.
2012/01/31 22:47:36 - 50.112.5.95:     Checking software installation completed.
2012/01/31 22:47:36 - 50.112.22.21:    Checking network mask is compatible.
2012/01/31 22:47:36 - 50.112.22.21:    Checking disk I/O
2012/01/31 22:47:36 - 50.112.50.234:   Checking network mask is compatible.
2012/01/31 22:47:36 - 50.112.50.234:   Checking disk I/O
2012/01/31 22:47:36 - 50.112.26.73:    Checking network mask is compatible.
2012/01/31 22:47:36 - 50.112.26.73:    Checking disk I/O
2012/01/31 22:47:36 - 50.112.48.254:   Checking software installation completed.
2012/01/31 22:47:36 - 50.112.47.150:   Checking software installation completed.
2012/01/31 22:47:36 - 50.112.26.44:    Checking network mask is compatible.
2012/01/31 22:47:36 - 50.112.26.44:    Checking disk I/O
2012/01/31 22:47:36 - 50.112.4.145:    Checking software installation completed.
2012/01/31 22:47:36 - 50.112.17.43:    Checking software installation completed.
2012/01/31 22:47:36 - 50.112.46.41:    Checking software installation completed.
2012/01/31 22:47:36 - 50.112.50.234:   Checking software installation completed.
2012/01/31 22:47:36 - 50.112.26.73:    Checking software installation completed.
2012/01/31 22:47:36 - 50.112.22.21:    Checking software installation completed.
2012/01/31 22:47:36 - 50.112.26.44:    Checking software installation completed.
2012/01/31 22:47:36 - 50.112.5.95:     Software installation finished.
2012/01/31 22:47:36 - 50.112.5.95:     Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/01/31 22:47:36 - 50.112.19.20:    Software installation finished.
2012/01/31 22:47:36 - 50.112.19.20:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/01/31 22:47:36 - 50.112.48.254:   Software installation finished.
2012/01/31 22:47:36 - 50.112.48.254:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/01/31 22:47:36 - 50.112.4.145:    Software installation finished.
2012/01/31 22:47:36 - 50.112.4.145:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/01/31 22:47:36 - 50.112.47.150:   Software installation finished.
2012/01/31 22:47:36 - 50.112.47.150:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/01/31 22:47:37 - 50.112.17.43:    Software installation finished.
2012/01/31 22:47:37 - 50.112.17.43:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/01/31 22:47:37 - 50.112.46.41:    Software installation finished.
2012/01/31 22:47:37 - 50.112.46.41:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/01/31 22:47:37 - 50.112.50.234:   Software installation finished.
2012/01/31 22:47:37 - 50.112.50.234:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/01/31 22:47:37 - 50.112.22.21:    Software installation finished.
2012/01/31 22:47:37 - 50.112.22.21:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/01/31 22:47:37 - 50.112.26.44:    Software installation finished.
2012/01/31 22:47:37 - 50.112.26.44:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/01/31 22:47:37 - 50.112.26.73:    Software installation finished.
2012/01/31 22:47:37 - 50.112.26.73:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/01/31 22:47:37 - 50.112.5.95:     Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/01/31 22:47:37 - 50.112.19.20:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/01/31 22:47:37 - 50.112.48.254:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/01/31 22:47:37 - 50.112.47.150:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/01/31 22:47:38 - 50.112.17.43:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/01/31 22:47:38 - 50.112.4.145:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/01/31 22:47:38 - 50.112.46.41:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/01/31 22:47:38 - 50.112.50.234:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/01/31 22:47:38 - 50.112.22.21:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/01/31 22:47:38 - 50.112.26.44:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/01/31 22:47:38 - 50.112.26.73:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/01/31 22:47:38 - 50.112.19.20:    Checking file contents.
2012/01/31 22:47:38 - 50.112.5.95:     Checking file contents.
2012/01/31 22:47:38 - 50.112.48.254:   Checking file contents.
2012/01/31 22:47:38 - 50.112.47.150:   Checking file contents.
2012/01/31 22:47:38 - 50.112.17.43:    Checking file contents.
2012/01/31 22:47:38 - 50.112.4.145:    Checking file contents.
2012/01/31 22:47:38 - 50.112.46.41:    Checking file contents.
2012/01/31 22:47:38 - 50.112.50.234:   Checking file contents.
2012/01/31 22:47:38 - 50.112.22.21:    Checking file contents.
2012/01/31 22:47:38 - 50.112.26.44:    Checking file contents.
2012/01/31 22:47:38 - 50.112.26.73:    Checking file contents.
2012/01/31 22:47:38 - 50.112.19.20:    Remote file contents confirmed.
2012/01/31 22:47:38 - 50.112.19.20:    Starting HPCC services.
2012/01/31 22:47:38 - 50.112.19.20:    HPPC Systems Thor Community Edition: 3.4.2-1.
2012/01/31 22:47:38 - 50.112.5.95:     Remote file contents confirmed.
2012/01/31 22:47:38 - 50.112.5.95:     Starting HPCC services.
2012/01/31 22:47:38 - 50.112.5.95:     HPPC Systems Thor Community Edition: 3.4.2-1.
2012/01/31 22:47:38 - 50.112.48.254:   Remote file contents confirmed.
2012/01/31 22:47:38 - 50.112.48.254:   Starting HPCC services.
2012/01/31 22:47:38 - 50.112.48.254:   HPPC Systems Thor Community Edition: 3.4.2-1.
2012/01/31 22:47:38 - 50.112.47.150:   Remote file contents confirmed.
2012/01/31 22:47:38 - 50.112.47.150:   Starting HPCC services.
2012/01/31 22:47:38 - 50.112.47.150:   HPPC Systems Thor Community Edition: 3.4.2-1.
2012/01/31 22:47:38 - 50.112.17.43:    Remote file contents confirmed.
2012/01/31 22:47:38 - 50.112.17.43:    Starting HPCC services.
2012/01/31 22:47:38 - 50.112.17.43:    HPPC Systems Thor Community Edition: 3.4.2-1.
2012/01/31 22:47:39 - 50.112.4.145:    Remote file contents confirmed.
2012/01/31 22:47:39 - 50.112.4.145:    Starting HPCC services.
2012/01/31 22:47:39 - 50.112.4.145:    HPPC Systems Thor Community Edition: 3.4.2-1.
2012/01/31 22:47:39 - 50.112.46.41:    Remote file contents confirmed.
2012/01/31 22:47:39 - 50.112.46.41:    Starting HPCC services.
2012/01/31 22:47:39 - 50.112.22.21:    Remote file contents confirmed.
2012/01/31 22:47:39 - 50.112.26.44:    Remote file contents confirmed.
2012/01/31 22:47:39 - 50.112.46.41:    HPPC Systems Thor Community Edition: 3.4.2-1.
2012/01/31 22:47:39 - 50.112.22.21:    Starting HPCC services.
2012/01/31 22:47:39 - 50.112.26.44:    Starting HPCC services.
2012/01/31 22:47:39 - 50.112.26.44:    HPPC Systems Thor Community Edition: 3.4.2-1.
2012/01/31 22:47:39 - 50.112.22.21:    HPPC Systems Thor Community Edition: 3.4.2-1.
2012/01/31 22:47:39 - 50.112.26.73:    Remote file contents confirmed.
2012/01/31 22:47:39 - 50.112.26.73:    Starting HPCC services.
2012/01/31 22:47:39 - 50.112.26.73:    HPPC Systems Thor Community Edition: 3.4.2-1.
2012/01/31 22:47:39 - 50.112.50.234:   Remote file contents confirmed.
2012/01/31 22:47:39 - 50.112.50.234:   Starting HPCC services.
2012/01/31 22:47:39 - 50.112.50.234:   HPPC Systems Thor Community Edition: 3.4.2-1.
2012/01/31 22:47:41 - 50.112.47.150:   Starting mydafilesrv....       [  OK  ]   
2012/01/31 22:47:41 - 50.112.47.150:   Setting mythor....             [  OK  ]  
