2014/07/28 16:55:27 - Connecting to AWS region us-west-2.
2014/07/28 16:55:27 - Calculating new unique cluster name for request 882.
2014/07/28 16:55:27 - Creating new cluster name, Hpcc-ED54.
2014/07/28 16:55:27 - Creating Hpcc-ED54 security group.
2014/07/28 16:55:30 - Creating Hpcc-ED54 key pair.
2014/07/28 16:55:31 - Launching 10 m1.large nodes using ami-2aadc71a.
2014/07/28 16:58:33 - 54.200.16.187:   Completed check of node 54.200.16.187.
2014/07/28 16:58:33 - 54.200.16.178:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/28 16:58:33 - 54.200.16.178:   Completed check of node 54.200.16.178.
2014/07/28 16:58:33 - 54.200.17.4:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/28 16:58:33 - 54.200.17.4:     Completed check of node 54.200.17.4.
2014/07/28 16:58:33 - 54.200.17.53:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/28 16:58:33 - 54.200.17.53:    Completed check of node 54.200.17.53.
2014/07/28 16:58:46 - Terminating cluster.
2014/07/28 16:58:46 - Connecting to AWS region us-west-2.
2014/07/28 16:58:48 - Gathering instances for Hpcc-ED54.
2014/07/28 16:58:48 - Terminating instances.
2014/07/28 16:58:48 - Deleting Access Key Hpcc-ED54.
2014/07/28 16:58:48 - Deleting Security group Hpcc-ED54.
2014/07/28 16:58:49 - An exception occured.
                      Amazon Error: DependencyViolation
                      resource sg-69cd750c has a dependent object
                      requestId: f8f98ab2-f174-45c9-8b18-d1e42a7aa857
2014/07/28 16:59:29 - 54.200.8.114:    Waiting on SSH connection.
2014/07/28 17:00:37 - 54.200.8.114:    Waiting on SSH connection.
2014/07/28 17:01:45 - 54.200.8.114:    Waiting on SSH connection.
2014/07/28 17:02:53 - 54.200.8.114:    Waiting on SSH connection.
2014/07/28 17:04:01 - 54.200.8.114:    Waiting on SSH connection.
2014/07/28 17:05:09 - 54.200.8.114:    54.200.8.114: Timed out trying to ssh to host..
2014/07/28 17:05:09 - 54.200.8.114:    Error - Node 54.200.8.114 failed check.
2014/07/28 17:05:09 - 54.200.8.114:    Completed check of node 54.200.8.114.
2014/07/28 17:05:09 - Terminating 1 bad instances.
2014/07/28 17:05:09 - Terminating instances.
2014/07/28 17:05:10 - Launching 1 new nodes.
2014/07/28 17:05:10 - An exception occured.
                      Amazon Error: InvalidKeyPair.NotFound
                      The key pair 'Hpcc-ED54' does not exist
                      requestId: 8e727387-41de-4ecf-bc29-2900c1b68370
2014/07/28 17:39:46 - Terminating cluster.
2014/07/28 17:39:46 - Connecting to AWS region us-west-2.
2014/07/28 17:39:46 - Gathering instances for Hpcc-ED54.
2014/07/28 17:39:46 - Terminating instances.
2014/07/28 17:39:46 - Deleting Access Key Hpcc-ED54.
2014/07/28 17:39:46 - Error: Access key not found.
2014/07/28 17:39:46 - Deleting Security group Hpcc-ED54.
2014/07/28 17:39:47 - Done.
