2012/02/17 15:21:19 - Connecting to AWS region us-west-2.
2012/02/17 15:21:19 - Calculating new unique cluster name for request 147.
2012/02/17 15:21:20 - Creating new cluster name, Thor-PDJT.
2012/02/17 15:21:20 - Creating Thor-PDJT security group.
2012/02/17 15:21:24 - Creating Thor-PDJT key pair.
2012/02/17 15:21:25 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/02/17 15:21:25 - Reservation ID r-601a5b50 created.
2012/02/17 15:21:25 - Waiting for 11 of 11 nodes to launch.
2012/02/17 15:21:34 - Waiting for 11 of 11 nodes to launch.
2012/02/17 15:21:42 - Waiting for 11 of 11 nodes to launch.
2012/02/17 15:21:50 - Waiting for 10 of 11 nodes to launch.
2012/02/17 15:21:57 - Waiting for 1 of 11 nodes to launch.
2012/02/17 15:22:03 - Waiting for 1 of 11 nodes to launch.
2012/02/17 15:22:08 - Pending instances have completed.
2012/02/17 15:22:08 - Checking each node launched properly.
2012/02/17 15:23:45 - 50.112.6.179:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:45 - 50.112.6.179:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/17 15:23:45 - 50.112.49.228:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:45 - 50.112.49.228:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/17 15:23:45 - 50.112.56.107:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:45 - 50.112.56.107:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/17 15:23:45 - 50.112.21.152:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:45 - 50.112.21.152:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/17 15:23:45 - 50.112.33.22:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:45 - 50.112.33.22:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/17 15:23:45 - 50.112.34.179:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:45 - 50.112.34.179:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/17 15:23:45 - 50.112.22.225:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:45 - 50.112.22.225:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/17 15:23:45 - 50.112.16.60:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:45 - 50.112.16.60:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/17 15:23:45 - 50.112.48.31:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:45 - 50.112.48.31:    Sending /etc/HPCCSystems/environment.xml via SFTP.
