2012/02/10 17:16:11 - Connecting to AWS region us-west-2.
2012/02/10 17:16:11 - Calculating new unique cluster name for request 121.
2012/02/10 17:16:13 - Creating new cluster name, Thor-K93V.
2012/02/10 17:16:13 - Creating Thor-K93V security group.
2012/02/10 17:16:17 - Creating Thor-K93V key pair.
2012/02/10 17:16:17 - Launching 5 m1.large nodes using ami-1c78f52c.
2012/02/10 17:16:18 - Reservation ID r-44420774 created.
2012/02/10 17:16:18 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:25 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:31 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:37 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:44 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:50 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:56 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:17:03 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:17:09 - Waiting for 2 of 5 nodes to launch.
2012/02/10 17:17:14 - Pending instances have completed.
2012/02/10 17:17:14 - Checking each node launched properly.
2012/02/10 17:20:52 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:20:55 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:20:57 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:20:59 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:20:59 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:21:02 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:21:06 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:21:08 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:21:09 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:21:09 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:21:12 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:21:16 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:21:18 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:21:19 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:21:20 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:21:23 - 50.112.40.126:   Waiting for software to install.
