2013/09/14 11:08:46 - Connecting to AWS region us-west-2.
2013/09/14 11:08:47 - Calculating new unique cluster name for request 686.
2013/09/14 11:08:47 - Creating new cluster name, Hpcc-3RUH.
2013/09/14 11:08:47 - Creating Hpcc-3RUH security group.
2013/09/14 11:08:51 - Creating Hpcc-3RUH key pair.
2013/09/14 11:08:53 - Launching 17 m1.large nodes using ami-4dc7577d.
2013/09/14 11:08:54 - Reservation ID r-3848790c created.
2013/09/14 11:08:54 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:04 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:12 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:21 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:29 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:37 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:46 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:55 - Waiting for 16 of 17 nodes to launch.
2013/09/14 11:10:06 - Waiting for 13 of 17 nodes to launch.
2013/09/14 11:10:14 - Waiting for 5 of 17 nodes to launch.
2013/09/14 11:10:21 - Pending instances have completed.
2013/09/14 11:10:21 - Checking each node launched properly.
2013/09/14 11:10:31 - 54.200.50.33:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:31 - 54.200.50.33:    Completed check of node 54.200.50.33.
2013/09/14 11:10:33 - 54.200.50.31:    Checking software installation completed.
2013/09/14 11:10:34 - 54.200.45.217:   Checking software installation completed.
2013/09/14 11:10:34 - 54.200.50.31:    Software installation finished.
2013/09/14 11:10:34 - 54.200.50.31:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:34 - 54.200.45.217:   Software installation finished.
2013/09/14 11:10:34 - 54.200.45.217:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:34 - 54.200.50.31:    Checking file contents.
2013/09/14 11:10:34 - 54.200.45.217:   Checking file contents.
2013/09/14 11:10:35 - 54.200.45.217:   Remote file contents confirmed.
2013/09/14 11:10:35 - 54.200.50.31:    Remote file contents confirmed.
2013/09/14 11:10:35 - 54.200.50.31:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:35 - 54.200.50.31:    Completed check of node 54.200.50.31.
2013/09/14 11:10:35 - 54.200.45.217:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:35 - 54.200.45.217:   Completed check of node 54.200.45.217.
2013/09/14 11:10:36 - 54.200.50.40:    Software installation finished.
2013/09/14 11:10:36 - 54.200.50.40:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:36 - 54.200.50.40:    Checking file contents.
2013/09/14 11:10:36 - 54.200.50.40:    Remote file contents confirmed.
2013/09/14 11:10:36 - 54.200.50.35:    Checking software installation completed.
2013/09/14 11:10:37 - 54.200.50.35:    Software installation finished.
2013/09/14 11:10:37 - 54.200.50.35:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:37 - 54.200.50.40:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:37 - 54.200.50.40:    Completed check of node 54.200.50.40.
2013/09/14 11:10:37 - 54.200.50.35:    Checking file contents.
2013/09/14 11:10:38 - 54.200.50.35:    Remote file contents confirmed.
2013/09/14 11:10:39 - 54.200.50.35:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:39 - 54.200.50.35:    Completed check of node 54.200.50.35.
2013/09/14 11:10:39 - Determining availability zone.
2013/09/14 11:10:39 - Gathering public and private ip addresses.
