2012/10/26 11:42:07 - Connecting to AWS region us-west-2.
2012/10/26 11:42:07 - Calculating new unique cluster name for request 370.
2012/10/26 11:42:08 - Creating new cluster name, Hpcc-G8ZR.
2012/10/26 11:42:08 - Creating Hpcc-G8ZR security group.
2012/10/26 11:42:12 - Creating Hpcc-G8ZR key pair.
2012/10/26 11:42:13 - Launching 20 m1.large nodes using ami-bcd4588c.
2012/10/26 11:42:14 - Reservation ID r-d7cf89e4 created.
2012/10/26 11:42:14 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:25 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:35 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:45 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:56 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:43:06 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:43:17 - Waiting for 14 of 20 nodes to launch.
2012/10/26 11:43:26 - Waiting for 10 of 20 nodes to launch.
2012/10/26 11:43:34 - Waiting for 4 of 20 nodes to launch.
2012/10/26 11:43:40 - Pending instances have completed.
2012/10/26 11:43:40 - Checking each node launched properly.
2012/10/26 11:43:44 - 50.112.225.182:  Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:44 - 50.112.66.190:   Software installation finished.
2012/10/26 11:43:44 - 50.112.66.190:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:44 - 50.112.197.197:  Software installation finished.
2012/10/26 11:43:44 - 50.112.197.197:  Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:44 - 54.245.43.162:   Checking file contents.
2012/10/26 11:43:44 - 54.245.47.88:    Software installation finished.
2012/10/26 11:43:44 - 54.245.47.88:    Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:44 - 50.112.16.16:    Software installation finished.
2012/10/26 11:43:44 - 50.112.16.16:    Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:44 - 50.112.87.94:    Software installation finished.
2012/10/26 11:43:44 - 50.112.87.94:    Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:45 - 54.245.43.162:   Remote file contents confirmed.
2012/10/26 11:43:45 - 50.112.31.42:    Checking file contents.
2012/10/26 11:43:45 - 50.112.25.239:   Checking file contents.
2012/10/26 11:43:45 - 50.112.84.146:   Checking file contents.
2012/10/26 11:43:45 - 54.245.4.174:    Checking file contents.
2012/10/26 11:43:45 - 54.245.5.95:     Checking file contents.
2012/10/26 11:43:45 - 54.245.10.56:    Checking file contents.
2012/10/26 11:43:45 - 50.112.71.221:   Checking file contents.
2012/10/26 11:43:45 - 50.112.88.238:   Checking file contents.
2012/10/26 11:43:45 - 50.112.210.56:   Checking file contents.
2012/10/26 11:43:45 - 50.112.225.182:  Checking file contents.
2012/10/26 11:43:45 - 50.112.66.190:   Checking file contents.
2012/10/26 11:43:45 - 50.112.197.197:  Checking file contents.
2012/10/26 11:43:45 - 54.245.47.88:    Checking file contents.
2012/10/26 11:43:45 - 50.112.16.16:    Checking file contents.
2012/10/26 11:43:45 - 50.112.31.42:    Remote file contents confirmed.
2012/10/26 11:43:45 - 50.112.84.146:   Remote file contents confirmed.
2012/10/26 11:43:45 - 50.112.25.239:   Remote file contents confirmed.
2012/10/26 11:43:45 - 54.245.4.174:    Remote file contents confirmed.
2012/10/26 11:43:45 - 54.245.10.56:    Remote file contents confirmed.
2012/10/26 11:43:45 - 54.245.5.95:     Remote file contents confirmed.
2012/10/26 11:43:45 - 50.112.87.94:    Checking file contents.
2012/10/26 11:43:45 - 50.112.71.221:   Remote file contents confirmed.
2012/10/26 11:43:45 - 50.112.210.56:   Remote file contents confirmed.
2012/10/26 11:43:45 - 50.112.88.238:   Remote file contents confirmed.
2012/10/26 11:43:45 - 50.112.225.182:  Remote file contents confirmed.
2012/10/26 11:43:45 - 50.112.66.190:   Remote file contents confirmed.
2012/10/26 11:43:45 - 50.112.197.197:  Remote file contents confirmed.
2012/10/26 11:43:45 - 54.245.47.88:    Remote file contents confirmed.
2012/10/26 11:43:45 - 50.112.16.16:    Remote file contents confirmed.
2012/10/26 11:43:45 - 50.112.87.94:    Remote file contents confirmed.
2012/10/26 11:43:45 - 54.245.43.162:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:45 - 54.245.43.162:   Completed check of node 54.245.43.162.
2012/10/26 11:43:46 - 50.112.31.42:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 50.112.31.42:    Completed check of node 50.112.31.42.
2012/10/26 11:43:46 - 54.245.4.174:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 54.245.4.174:    Completed check of node 54.245.4.174.
2012/10/26 11:43:46 - 50.112.84.146:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 50.112.84.146:   Completed check of node 50.112.84.146.
2012/10/26 11:43:46 - 54.245.10.56:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 54.245.10.56:    Completed check of node 54.245.10.56.
2012/10/26 11:43:46 - 54.245.5.95:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 54.245.5.95:     Completed check of node 54.245.5.95.
2012/10/26 11:43:46 - 50.112.71.221:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 50.112.71.221:   Completed check of node 50.112.71.221.
2012/10/26 11:43:46 - 50.112.210.56:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 50.112.210.56:   Completed check of node 50.112.210.56.
2012/10/26 11:43:46 - 50.112.225.182:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 50.112.88.238:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 50.112.66.190:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 50.112.66.190:   Completed check of node 50.112.66.190.
2012/10/26 11:43:46 - 50.112.197.197:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 50.112.197.197:  Completed check of node 50.112.197.197.
2012/10/26 11:43:46 - 50.112.225.182:  Completed check of node 50.112.225.182.
